time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature,wave_height_lag1,wave_height_lag2,wave_height_lag3,wind_speed_10m_lag1,wind_speed_10m_lag2,wind_speed_10m_lag3,precipitation_lag1,precipitation_lag2,precipitation_lag3,visibility_lag1,visibility_lag2,visibility_lag3,ocean_current_velocity_lag1,ocean_current_velocity_lag2,ocean_current_velocity_lag3,sea_surface_temperature_lag1,sea_surface_temperature_lag2,sea_surface_temperature_lag3
2026-05-08 03:00:00,Bangkalan,0.2,7.1,0.0,40400.0,1.3,31.0,0.2,0.2,0.2,8.4,9.4,9.3,0.0,0.0,0.0,37700.0,37700.0,37700.0,0.9,0.4,0.4,31.1,31.1,31.1
2026-05-08 04:00:00,Bangkalan,0.2,5.4,0.0,36980.0,1.5,31.0,0.2,0.2,0.2,7.1,8.4,9.4,0.0,0.0,0.0,40400.0,37700.0,37700.0,1.3,0.9,0.4,31.0,31.1,31.1
2026-05-08 05:00:00,Bangkalan,0.2,8.5,0.0,34320.0,1.5,31.0,0.2,0.2,0.2,5.4,7.1,8.4,0.0,0.0,0.0,36980.0,40400.0,37700.0,1.5,1.3,0.9,31.0,31.0,31.1
2026-05-08 06:00:00,Bangkalan,0.2,7.5,0.0,34320.0,1.1,31.0,0.2,0.2,0.2,8.5,5.4,7.1,0.0,0.0,0.0,34320.0,36980.0,40400.0,1.5,1.5,1.3,31.0,31.0,31.0
2026-05-08 07:00:00,Bangkalan,0.2,4.0,0.0,37660.0,0.7,31.0,0.2,0.2,0.2,7.5,8.5,5.4,0.0,0.0,0.0,34320.0,34320.0,36980.0,1.1,1.5,1.5,31.0,31.0,31.0
2026-05-08 08:00:00,Bangkalan,0.2,2.8,0.0,43740.0,0.2,31.0,0.2,0.2,0.2,4.0,7.5,8.5,0.0,0.0,0.0,37660.0,34320.0,34320.0,0.7,1.1,1.5,31.0,31.0,31.0
2026-05-08 09:00:00,Bangkalan,0.18,7.3,0.0,45760.0,0.2,31.2,0.2,0.2,0.2,2.8,4.0,7.5,0.0,0.0,0.0,43740.0,37660.0,34320.0,0.2,0.7,1.1,31.0,31.0,31.0
2026-05-08 10:00:00,Bangkalan,0.18,12.2,0.0,47520.0,0.4,31.3,0.18,0.2,0.2,7.3,2.8,4.0,0.0,0.0,0.0,45760.0,43740.0,37660.0,0.2,0.2,0.7,31.2,31.0,31.0
2026-05-08 11:00:00,Bangkalan,0.18,13.5,0.0,10120.0,0.5,31.5,0.18,0.18,0.2,12.2,7.3,2.8,0.0,0.0,0.0,47520.0,45760.0,43740.0,0.4,0.2,0.2,31.3,31.2,31.0
2026-05-08 12:00:00,Bangkalan,0.18,12.6,0.2,9680.0,0.4,31.5,0.18,0.18,0.18,13.5,12.2,7.3,0.0,0.0,0.0,10120.0,47520.0,45760.0,0.5,0.4,0.2,31.5,31.3,31.2
2026-05-08 13:00:00,Bangkalan,0.18,13.1,0.1,22760.0,0.4,31.6,0.18,0.18,0.18,12.6,13.5,12.2,0.2,0.0,0.0,9680.0,10120.0,47520.0,0.4,0.5,0.4,31.5,31.5,31.3
2026-05-08 14:00:00,Bangkalan,0.18,10.4,0.0,47500.0,0.4,31.6,0.18,0.18,0.18,13.1,12.6,13.5,0.1,0.2,0.0,22760.0,9680.0,10120.0,0.4,0.4,0.5,31.6,31.5,31.5
2026-05-08 15:00:00,Bangkalan,0.2,9.0,0.0,49120.0,0.4,31.6,0.18,0.18,0.18,10.4,13.1,12.6,0.0,0.1,0.2,47500.0,22760.0,9680.0,0.4,0.4,0.4,31.6,31.6,31.5
2026-05-08 16:00:00,Bangkalan,0.2,10.3,0.0,47500.0,0.4,31.5,0.2,0.18,0.18,9.0,10.4,13.1,0.0,0.0,0.1,49120.0,47500.0,22760.0,0.4,0.4,0.4,31.6,31.6,31.6
2026-05-08 17:00:00,Bangkalan,0.22,7.6,0.0,45720.0,0.4,31.5,0.2,0.2,0.18,10.3,9.0,10.4,0.0,0.0,0.0,47500.0,49120.0,47500.0,0.4,0.4,0.4,31.5,31.6,31.6
2026-05-08 18:00:00,Bangkalan,0.24,5.0,0.0,43680.0,0.4,31.4,0.22,0.2,0.2,7.6,10.3,9.0,0.0,0.0,0.0,45720.0,47500.0,49120.0,0.4,0.4,0.4,31.5,31.5,31.6
2026-05-08 19:00:00,Bangkalan,0.26,7.2,0.0,43680.0,0.6,31.4,0.24,0.22,0.2,5.0,7.6,10.3,0.0,0.0,0.0,43680.0,45720.0,47500.0,0.4,0.4,0.4,31.4,31.5,31.5
2026-05-08 20:00:00,Bangkalan,0.26,8.7,0.0,43680.0,0.8,31.3,0.26,0.24,0.22,7.2,5.0,7.6,0.0,0.0,0.0,43680.0,43680.0,45720.0,0.6,0.4,0.4,31.4,31.4,31.5
2026-05-08 21:00:00,Bangkalan,0.26,10.9,0.0,43680.0,1.0,31.3,0.26,0.26,0.24,8.7,7.2,5.0,0.0,0.0,0.0,43680.0,43680.0,43680.0,0.8,0.6,0.4,31.3,31.4,31.4
2026-05-08 22:00:00,Bangkalan,0.26,10.8,0.0,43660.0,1.1,31.2,0.26,0.26,0.26,10.9,8.7,7.2,0.0,0.0,0.0,43680.0,43680.0,43680.0,1.0,0.8,0.6,31.3,31.3,31.4
2026-05-08 23:00:00,Bangkalan,0.24,11.6,0.0,38960.0,0.9,31.2,0.26,0.26,0.26,10.8,10.9,8.7,0.0,0.0,0.0,43660.0,43680.0,43680.0,1.1,1.0,0.8,31.2,31.3,31.3
2026-05-09 00:00:00,Bangkalan,0.24,11.1,0.0,39180.0,0.7,31.2,0.24,0.26,0.26,11.6,10.8,10.9,0.0,0.0,0.0,38960.0,43660.0,43680.0,0.9,1.1,1.0,31.2,31.2,31.3
2026-05-09 01:00:00,Bangkalan,0.22,10.5,0.0,39520.0,0.2,31.2,0.24,0.24,0.26,11.1,11.6,10.8,0.0,0.0,0.0,39180.0,38960.0,43660.0,0.7,0.9,1.1,31.2,31.2,31.2
2026-05-09 02:00:00,Bangkalan,0.22,8.4,0.0,37560.0,0.4,31.1,0.22,0.24,0.24,10.5,11.1,11.6,0.0,0.0,0.0,39520.0,39180.0,38960.0,0.2,0.7,0.9,31.2,31.2,31.2
2026-05-09 03:00:00,Bangkalan,0.2,7.1,0.0,36400.0,0.9,31.1,0.22,0.22,0.24,8.4,10.5,11.1,0.0,0.0,0.0,37560.0,39520.0,39180.0,0.4,0.2,0.7,31.1,31.2,31.2
2026-05-09 04:00:00,Bangkalan,0.2,5.1,0.0,37560.0,1.3,31.1,0.2,0.22,0.22,7.1,8.4,10.5,0.0,0.0,0.0,36400.0,37560.0,39520.0,0.9,0.4,0.2,31.1,31.1,31.2
2026-05-09 05:00:00,Bangkalan,0.2,2.4,0.0,37540.0,1.5,31.0,0.2,0.2,0.22,5.1,7.1,8.4,0.0,0.0,0.0,37560.0,36400.0,37560.0,1.3,0.9,0.4,31.1,31.1,31.1
2026-05-09 06:00:00,Bangkalan,0.2,2.7,0.0,37540.0,1.5,31.0,0.2,0.2,0.2,2.4,5.1,7.1,0.0,0.0,0.0,37540.0,37560.0,36400.0,1.5,1.3,0.9,31.0,31.1,31.1
2026-05-09 07:00:00,Bangkalan,0.2,5.8,0.0,40260.0,1.1,31.0,0.2,0.2,0.2,2.7,2.4,5.1,0.0,0.0,0.0,37540.0,37540.0,37560.0,1.5,1.5,1.3,31.0,31.0,31.1
2026-05-09 08:00:00,Bangkalan,0.2,6.9,0.0,40640.0,0.7,31.1,0.2,0.2,0.2,5.8,2.7,2.4,0.0,0.0,0.0,40260.0,37540.0,37540.0,1.1,1.5,1.5,31.0,31.0,31.0
2026-05-09 09:00:00,Bangkalan,0.18,9.9,0.0,45640.0,0.4,31.2,0.2,0.2,0.2,6.9,5.8,2.7,0.0,0.0,0.0,40640.0,40260.0,37540.0,0.7,1.1,1.5,31.1,31.0,31.0
2026-05-09 10:00:00,Bangkalan,0.18,8.7,0.1,10180.0,0.3,31.4,0.18,0.2,0.2,9.9,6.9,5.8,0.0,0.0,0.0,45640.0,40640.0,40260.0,0.4,0.7,1.1,31.2,31.1,31.0
2026-05-09 11:00:00,Bangkalan,0.18,7.7,0.4,5680.0,0.5,31.5,0.18,0.18,0.2,8.7,9.9,6.9,0.1,0.0,0.0,10180.0,45640.0,40640.0,0.3,0.4,0.7,31.4,31.2,31.1
2026-05-09 12:00:00,Bangkalan,0.18,5.8,0.2,45620.0,0.6,31.6,0.18,0.18,0.18,7.7,8.7,9.9,0.4,0.1,0.0,5680.0,10180.0,45640.0,0.5,0.3,0.4,31.5,31.4,31.2
2026-05-09 13:00:00,Bangkalan,0.18,6.3,0.3,18640.0,0.8,31.6,0.18,0.18,0.18,5.8,7.7,8.7,0.2,0.4,0.1,45620.0,5680.0,10180.0,0.6,0.5,0.3,31.6,31.5,31.4
2026-05-09 14:00:00,Bangkalan,0.18,12.6,0.7,6160.0,0.6,31.6,0.18,0.18,0.18,6.3,5.8,7.7,0.3,0.2,0.4,18640.0,45620.0,5680.0,0.8,0.6,0.5,31.6,31.6,31.5
2026-05-09 15:00:00,Bangkalan,0.18,8.3,0.3,13600.0,0.5,31.6,0.18,0.18,0.18,12.6,6.3,5.8,0.7,0.3,0.2,6160.0,18640.0,45620.0,0.6,0.8,0.6,31.6,31.6,31.6
2026-05-09 16:00:00,Bangkalan,0.18,4.6,0.0,37260.0,0.3,31.5,0.18,0.18,0.18,8.3,12.6,6.3,0.3,0.7,0.3,13600.0,6160.0,18640.0,0.5,0.6,0.8,31.6,31.6,31.6
2026-05-09 17:00:00,Bangkalan,0.18,2.9,0.0,43560.0,0.2,31.5,0.18,0.18,0.18,4.6,8.3,12.6,0.0,0.3,0.7,37260.0,13600.0,6160.0,0.3,0.5,0.6,31.5,31.6,31.6
2026-05-09 18:00:00,Bangkalan,0.16,7.5,0.1,10460.0,0.2,31.5,0.18,0.18,0.18,2.9,4.6,8.3,0.0,0.0,0.3,43560.0,37260.0,13600.0,0.2,0.3,0.5,31.5,31.5,31.6
2026-05-09 19:00:00,Bangkalan,0.16,1.5,0.1,37480.0,0.3,31.4,0.16,0.18,0.18,7.5,2.9,4.6,0.1,0.0,0.0,10460.0,43560.0,37260.0,0.2,0.2,0.3,31.5,31.5,31.5
