time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Blitar Selatan,1.24,14.0,0.0,34460.0,0.8,28.6
2026-05-08T01:00,Blitar Selatan,1.26,13.9,0.0,36720.0,1.0,28.5
2026-05-08T02:00,Blitar Selatan,1.28,13.2,0.0,32620.0,1.0,28.5
2026-05-08T03:00,Blitar Selatan,1.28,13.3,0.0,33360.0,0.9,28.5
2026-05-08T04:00,Blitar Selatan,1.3,14.2,0.0,29220.0,0.9,28.5
2026-05-08T05:00,Blitar Selatan,1.32,15.6,0.0,26980.0,0.9,28.5
2026-05-08T06:00,Blitar Selatan,1.32,16.1,0.0,33540.0,0.9,28.5
2026-05-08T07:00,Blitar Selatan,1.34,18.8,0.0,21700.0,0.9,28.5
2026-05-08T08:00,Blitar Selatan,1.34,21.7,0.0,34680.0,0.9,28.5
2026-05-08T09:00,Blitar Selatan,1.36,22.6,0.0,33000.0,0.9,28.5
2026-05-08T10:00,Blitar Selatan,1.36,23.8,0.0,38400.0,0.9,28.5
2026-05-08T11:00,Blitar Selatan,1.36,25.0,0.0,40880.0,1.1,28.6
2026-05-08T12:00,Blitar Selatan,1.36,26.6,0.0,39080.0,1.1,28.6
2026-05-08T13:00,Blitar Selatan,1.36,28.0,0.0,41440.0,1.3,28.6
2026-05-08T14:00,Blitar Selatan,1.34,28.3,0.0,41900.0,1.3,28.6
2026-05-08T15:00,Blitar Selatan,1.3,27.4,0.0,38360.0,1.3,28.6
2026-05-08T16:00,Blitar Selatan,1.28,26.3,0.0,39200.0,1.3,28.6
2026-05-08T17:00,Blitar Selatan,1.26,23.1,0.0,33780.0,1.5,28.6
2026-05-08T18:00,Blitar Selatan,1.26,19.9,0.0,33860.0,1.3,28.6
2026-05-08T19:00,Blitar Selatan,1.24,18.0,0.0,36000.0,1.3,28.6
2026-05-08T20:00,Blitar Selatan,1.22,18.4,0.0,41520.0,1.3,28.5
2026-05-08T21:00,Blitar Selatan,1.22,16.6,0.0,41860.0,1.3,28.5
2026-05-08T22:00,Blitar Selatan,1.2,14.1,0.0,41180.0,1.3,28.5
2026-05-08T23:00,Blitar Selatan,1.2,12.8,0.0,38020.0,1.1,28.5
2026-05-09T00:00,Blitar Selatan,1.18,10.6,0.0,37620.0,1.1,28.5
2026-05-09T01:00,Blitar Selatan,1.18,11.2,0.0,38480.0,1.1,28.4
