time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Grajagan,1.26,7.1,0.0,28160.0,0.6,28.0
2026-05-08T01:00,Grajagan,1.26,4.0,0.0,27700.0,0.6,27.9
2026-05-08T02:00,Grajagan,1.28,5.7,0.0,30520.0,0.4,27.9
2026-05-08T03:00,Grajagan,1.28,8.1,0.0,1400.0,0.4,27.9
2026-05-08T04:00,Grajagan,1.3,9.1,0.0,1720.0,0.5,27.8
2026-05-08T05:00,Grajagan,1.32,9.2,0.0,2680.0,0.5,27.8
2026-05-08T06:00,Grajagan,1.34,10.2,0.0,7060.0,0.5,27.8
2026-05-08T07:00,Grajagan,1.36,5.5,0.1,24200.0,0.4,27.8
2026-05-08T08:00,Grajagan,1.38,7.1,0.2,20600.0,0.5,27.8
2026-05-08T09:00,Grajagan,1.38,12.2,0.2,47940.0,0.5,27.9
2026-05-08T10:00,Grajagan,1.4,12.3,0.2,14860.0,0.5,27.9
2026-05-08T11:00,Grajagan,1.42,13.9,0.0,49580.0,0.5,28.0
2026-05-08T12:00,Grajagan,1.42,16.3,0.0,49580.0,0.6,28.0
2026-05-08T13:00,Grajagan,1.44,16.7,0.0,49580.0,0.6,28.0
2026-05-08T14:00,Grajagan,1.42,15.8,0.0,32960.0,0.6,28.0
2026-05-08T15:00,Grajagan,1.4,16.1,0.0,49560.0,0.6,28.0
2026-05-08T16:00,Grajagan,1.38,14.5,0.0,47900.0,0.7,28.0
2026-05-08T17:00,Grajagan,1.38,10.5,0.0,47900.0,0.7,28.0
2026-05-08T18:00,Grajagan,1.36,9.3,0.0,46000.0,0.6,27.9
2026-05-08T19:00,Grajagan,1.36,6.2,0.0,46000.0,0.6,27.9
2026-05-08T20:00,Grajagan,1.36,6.1,0.0,46000.0,0.6,27.8
2026-05-08T21:00,Grajagan,1.34,5.1,0.0,46000.0,0.6,27.8
2026-05-08T22:00,Grajagan,1.34,5.0,0.0,45640.0,0.4,27.7
2026-05-08T23:00,Grajagan,1.36,4.4,0.0,45980.0,0.4,27.6
2026-05-09T00:00,Grajagan,1.36,4.0,0.0,45980.0,0.5,27.6
2026-05-09T01:00,Grajagan,1.38,4.0,0.0,45960.0,0.5,27.6
2026-05-09T02:00,Grajagan,1.38,4.6,0.0,41260.0,0.5,27.5
2026-05-09T03:00,Grajagan,1.36,5.6,0.0,35820.0,0.4,27.5
2026-05-09T04:00,Grajagan,1.36,3.5,0.0,35760.0,0.4,27.5
2026-05-09T05:00,Grajagan,1.36,3.2,0.0,35840.0,0.6,27.5
2026-05-09T06:00,Grajagan,1.38,4.4,0.0,38480.0,0.5,27.5
2026-05-09T07:00,Grajagan,1.38,1.9,0.0,45940.0,0.5,27.5
2026-05-09T08:00,Grajagan,1.38,7.6,0.0,18720.0,0.5,27.5
2026-05-09T09:00,Grajagan,1.36,10.6,0.1,22260.0,0.6,27.6
2026-05-09T10:00,Grajagan,1.36,12.2,0.0,26800.0,0.6,27.7
2026-05-09T11:00,Grajagan,1.36,14.1,0.0,47800.0,0.6,27.8
2026-05-09T12:00,Grajagan,1.38,15.5,0.0,47800.0,0.5,27.8
2026-05-09T13:00,Grajagan,1.38,14.8,0.0,49460.0,0.5,27.9
2026-05-09T14:00,Grajagan,1.38,15.2,0.0,49460.0,0.5,27.9
2026-05-09T15:00,Grajagan,1.38,16.5,0.0,49440.0,0.5,27.8
2026-05-09T16:00,Grajagan,1.38,15.9,0.0,47780.0,0.5,27.8
2026-05-09T17:00,Grajagan,1.38,13.5,0.0,47760.0,0.4,27.7
2026-05-09T18:00,Grajagan,1.4,11.4,0.0,47760.0,0.4,27.6
2026-05-09T19:00,Grajagan,1.4,5.9,0.0,21820.0,0.5,27.6
2026-05-09T20:00,Grajagan,1.4,8.1,0.0,26480.0,0.5,27.5
2026-05-09T21:00,Grajagan,1.4,7.4,0.0,40040.0,0.4,27.5
2026-05-09T22:00,Grajagan,1.4,6.1,0.0,20800.0,0.4,27.5
2026-05-09T23:00,Grajagan,1.36,4.7,0.0,19880.0,0.4,27.5
2026-05-10T00:00,Grajagan,1.34,3.9,0.0,23560.0,0.4,27.5
2026-05-10T01:00,Grajagan,1.3,4.8,0.0,36760.0,0.4,27.5
2026-05-10T02:00,Grajagan,1.3,4.3,0.0,1780.0,0.5,27.5
2026-05-10T03:00,Grajagan,1.28,3.1,0.0,2160.0,0.5,27.4
2026-05-10T04:00,Grajagan,1.28,3.5,0.0,2880.0,0.5,27.4
2026-05-10T05:00,Grajagan,1.28,4.4,0.0,980.0,0.5,27.4
2026-05-10T06:00,Grajagan,1.3,6.8,0.0,36740.0,0.5,27.4
2026-05-10T07:00,Grajagan,1.3,5.5,0.0,41640.0,0.6,27.4
2026-05-10T08:00,Grajagan,1.3,6.3,0.1,13660.0,0.5,27.4
2026-05-10T09:00,Grajagan,1.28,9.7,0.0,18980.0,0.5,27.5
2026-05-10T10:00,Grajagan,1.28,13.0,0.1,11800.0,0.5,27.5
2026-05-10T11:00,Grajagan,1.28,13.3,0.1,49340.0,0.4,27.6
2026-05-10T12:00,Grajagan,1.26,14.9,0.0,48440.0,0.4,27.6
2026-05-10T13:00,Grajagan,1.26,13.9,0.0,49340.0,0.4,27.7
2026-05-10T14:00,Grajagan,1.24,12.7,0.0,49340.0,0.4,27.7
2026-05-10T15:00,Grajagan,1.24,12.5,0.0,49320.0,0.4,27.6
2026-05-10T16:00,Grajagan,1.22,14.0,0.0,49320.0,0.3,27.6
2026-05-10T17:00,Grajagan,1.24,11.8,0.0,47640.0,0.3,27.6
2026-05-10T18:00,Grajagan,1.28,9.1,0.0,47640.0,0.3,27.5
2026-05-10T19:00,Grajagan,1.3,8.4,0.0,45740.0,0.3,27.5
2026-05-10T20:00,Grajagan,1.28,8.2,0.0,45720.0,0.3,27.5
2026-05-10T21:00,Grajagan,1.26,5.6,0.0,45720.0,0.2,27.5
2026-05-10T22:00,Grajagan,1.24,4.3,0.0,45720.0,0.4,27.4
2026-05-10T23:00,Grajagan,1.24,2.4,0.0,45720.0,0.4,27.4
2026-05-11T00:00,Grajagan,1.24,1.5,0.0,42540.0,0.4,27.4
2026-05-11T01:00,Grajagan,1.24,1.1,0.0,42520.0,0.5,27.4
2026-05-11T02:00,Grajagan,1.22,1.2,0.0,39860.0,0.5,27.4
2026-05-11T03:00,Grajagan,1.22,1.5,0.0,1960.0,0.5,27.3
2026-05-11T04:00,Grajagan,1.2,2.4,0.0,740.0,0.5,27.3
2026-05-11T05:00,Grajagan,1.18,4.6,0.0,540.0,0.6,27.3
2026-05-11T06:00,Grajagan,1.18,6.6,0.0,36300.0,0.8,27.3
2026-05-11T07:00,Grajagan,1.16,5.2,0.0,44460.0,0.6,27.3
2026-05-11T08:00,Grajagan,1.16,9.9,0.0,15240.0,0.5,27.4
2026-05-11T09:00,Grajagan,1.14,12.0,0.0,17680.0,0.5,27.4
2026-05-11T10:00,Grajagan,1.14,13.4,0.0,49240.0,0.5,27.5
2026-05-11T11:00,Grajagan,1.14,14.8,0.0,49240.0,0.3,27.5
2026-05-11T12:00,Grajagan,1.14,15.7,0.0,49220.0,0.3,27.5
2026-05-11T13:00,Grajagan,1.14,14.1,0.0,49220.0,0.2,27.6
2026-05-11T14:00,Grajagan,1.14,13.8,0.0,49220.0,0.2,27.6
2026-05-11T15:00,Grajagan,1.12,15.3,0.0,49140.0,0.2,27.5
2026-05-11T16:00,Grajagan,1.12,16.9,0.0,47520.0,0.0,27.5
2026-05-11T17:00,Grajagan,1.1,14.7,0.0,45620.0,0.0,27.5
2026-05-11T18:00,Grajagan,1.1,13.0,0.0,45600.0,0.0,27.5
2026-05-11T19:00,Grajagan,1.08,9.6,0.0,45080.0,0.0,27.4
2026-05-11T20:00,Grajagan,1.04,8.0,0.0,45600.0,0.0,27.4
2026-05-11T21:00,Grajagan,1.02,5.3,0.0,45600.0,0.0,27.4
2026-05-11T22:00,Grajagan,0.98,3.6,0.0,44120.0,0.2,27.4
2026-05-11T23:00,Grajagan,0.98,3.3,0.0,43420.0,0.3,27.4
2026-05-12T00:00,Grajagan,1.0,2.7,0.0,39140.0,0.3,27.3
2026-05-12T01:00,Grajagan,1.0,1.8,0.0,39620.0,0.3,27.3
2026-05-12T02:00,Grajagan,1.0,2.0,0.0,39860.0,0.3,27.3
2026-05-12T03:00,Grajagan,0.98,1.5,0.0,38200.0,0.3,27.2
2026-05-12T04:00,Grajagan,0.98,3.7,0.0,14660.0,0.3,27.2
2026-05-12T05:00,Grajagan,1.0,4.7,0.0,26560.0,0.3,27.2
2026-05-12T06:00,Grajagan,1.02,6.3,0.0,24600.0,0.4,27.2
2026-05-12T07:00,Grajagan,1.04,9.0,0.0,27500.0,0.3,27.2
2026-05-12T08:00,Grajagan,1.06,11.2,0.3,19160.0,0.3,27.2
2026-05-12T09:00,Grajagan,1.06,11.8,0.3,10240.0,0.2,27.3
2026-05-12T10:00,Grajagan,1.08,12.9,0.1,28900.0,0.2,27.4
2026-05-12T11:00,Grajagan,1.1,13.6,0.0,49120.0,0.0,27.5
2026-05-12T12:00,Grajagan,1.14,16.2,0.0,47420.0,0.2,27.5
2026-05-12T13:00,Grajagan,1.16,17.2,0.1,27260.0,0.2,27.5
2026-05-12T14:00,Grajagan,1.18,16.9,0.0,27260.0,0.2,27.5
2026-05-12T15:00,Grajagan,1.18,17.3,0.0,27260.0,0.2,27.5
2026-05-12T16:00,Grajagan,1.2,17.1,0.0,24820.0,0.2,27.5
2026-05-12T17:00,Grajagan,1.22,14.2,0.0,24820.0,0.2,27.5
2026-05-12T18:00,Grajagan,1.22,10.8,0.0,22080.0,0.2,27.4
2026-05-12T19:00,Grajagan,1.24,10.5,0.0,22300.0,0.2,27.4
2026-05-12T20:00,Grajagan,1.24,11.4,0.0,20300.0,0.2,27.3
2026-05-12T21:00,Grajagan,1.26,10.1,0.0,18640.0,0.2,27.3
2026-05-12T22:00,Grajagan,1.26,8.7,0.0,19980.0,0.2,27.2
2026-05-12T23:00,Grajagan,1.26,7.1,0.0,21000.0,0.2,27.2
2026-05-13T00:00,Grajagan,1.24,3.6,0.0,17060.0,0.2,27.2
2026-05-13T01:00,Grajagan,1.24,4.2,0.0,21020.0,0.2,27.2
2026-05-13T02:00,Grajagan,1.24,3.3,0.0,15860.0,0.2,27.2
2026-05-13T03:00,Grajagan,1.22,3.3,0.0,15900.0,0.0,27.1
2026-05-13T04:00,Grajagan,1.22,4.4,0.0,13780.0,0.0,27.1
2026-05-13T05:00,Grajagan,1.22,6.4,0.0,13560.0,0.0,27.1
2026-05-13T06:00,Grajagan,1.2,6.8,0.0,13680.0,0.2,27.1
2026-05-13T07:00,Grajagan,1.2,3.4,0.0,22020.0,0.0,27.1
2026-05-13T08:00,Grajagan,1.22,10.1,0.2,8960.0,0.0,27.1
2026-05-13T09:00,Grajagan,1.22,13.7,0.4,5940.0,0.2,27.1
2026-05-13T10:00,Grajagan,1.24,15.0,0.4,4980.0,0.2,27.2
2026-05-13T11:00,Grajagan,1.26,15.7,0.5,4980.0,0.4,27.2
2026-05-13T12:00,Grajagan,1.26,16.3,0.6,4740.0,0.4,27.3
2026-05-13T13:00,Grajagan,1.28,17.3,0.3,3760.0,0.4,27.3
2026-05-13T14:00,Grajagan,1.28,18.1,0.8,5680.0,0.4,27.3
2026-05-13T15:00,Grajagan,1.28,17.2,0.2,11240.0,0.2,27.2
2026-05-13T16:00,Grajagan,1.28,16.2,0.0,20820.0,0.3,27.2
2026-05-13T17:00,Grajagan,1.28,12.4,0.0,19400.0,0.3,27.2
2026-05-13T18:00,Grajagan,1.28,7.7,0.0,20640.0,0.2,27.1
2026-05-13T19:00,Grajagan,1.28,3.9,0.0,21320.0,0.2,27.1
2026-05-13T20:00,Grajagan,1.26,3.1,0.0,19940.0,0.2,27.0
2026-05-13T21:00,Grajagan,1.26,3.1,0.0,11680.0,0.2,27.0
2026-05-13T22:00,Grajagan,1.24,3.3,0.0,17120.0,0.2,27.0
2026-05-13T23:00,Grajagan,1.24,3.0,0.0,18000.0,0.2,27.0
2026-05-14T00:00,Grajagan,1.26,3.1,0.0,16520.0,0.2,27.0
2026-05-14T01:00,Grajagan,1.26,3.3,0.0,17060.0,0.2,27.0
2026-05-14T02:00,Grajagan,1.26,4.3,0.0,14240.0,0.2,26.9
2026-05-14T03:00,Grajagan,1.28,6.4,0.0,11280.0,0.2,26.9
2026-05-14T04:00,Grajagan,1.28,6.4,0.0,5000.0,0.2,26.9
2026-05-14T05:00,Grajagan,1.3,4.7,0.0,7020.0,0.2,26.9
2026-05-14T06:00,Grajagan,1.3,6.7,0.0,15360.0,0.3,26.9
2026-05-14T07:00,Grajagan,1.32,3.5,0.0,15660.0,0.3,26.9
