time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Gresik,0.2,4.5,0.0,43280.0,0.2,31.7
2026-05-08T01:00,Gresik,0.2,0.4,0.0,43260.0,0.2,31.6
2026-05-08T02:00,Gresik,0.2,8.8,0.0,39960.0,0.2,31.6
2026-05-08T03:00,Gresik,0.2,10.2,0.0,37260.0,0.2,31.6
2026-05-08T04:00,Gresik,0.2,8.2,0.0,37240.0,0.2,31.5
2026-05-08T05:00,Gresik,0.2,6.0,0.0,37240.0,0.2,31.5
2026-05-08T06:00,Gresik,0.2,4.4,0.0,37240.0,0.2,31.5
2026-05-08T07:00,Gresik,0.2,4.0,0.0,43240.0,0.2,31.5
2026-05-08T08:00,Gresik,0.2,3.2,0.0,43240.0,0.2,31.5
2026-05-08T09:00,Gresik,0.18,1.8,0.0,45220.0,0.2,31.6
2026-05-08T10:00,Gresik,0.18,8.7,0.0,48580.0,0.2,31.7
2026-05-08T11:00,Gresik,0.18,14.2,0.0,48580.0,0.2,31.8
2026-05-08T12:00,Gresik,0.18,14.4,0.0,48560.0,0.2,31.9
2026-05-08T13:00,Gresik,0.18,16.2,0.0,48560.0,0.2,31.9
2026-05-08T14:00,Gresik,0.18,14.6,0.0,48560.0,0.2,31.9
2026-05-08T15:00,Gresik,0.2,16.2,0.0,46960.0,0.2,31.9
2026-05-08T16:00,Gresik,0.2,15.3,0.0,48540.0,0.2,31.9
2026-05-08T17:00,Gresik,0.22,12.2,0.0,46940.0,0.2,31.9
2026-05-08T18:00,Gresik,0.24,12.6,0.0,31020.0,0.2,31.9
2026-05-08T19:00,Gresik,0.26,11.8,0.0,45180.0,0.0,31.8
2026-05-08T20:00,Gresik,0.26,8.7,0.0,41200.0,0.2,31.8
2026-05-08T21:00,Gresik,0.26,9.8,0.0,39740.0,0.2,31.8
2026-05-08T22:00,Gresik,0.26,10.4,0.0,45160.0,0.2,31.8
2026-05-08T23:00,Gresik,0.24,14.4,0.0,24120.0,0.2,31.7
2026-05-09T00:00,Gresik,0.24,8.6,0.0,11520.0,0.2,31.7
2026-05-09T01:00,Gresik,0.22,7.3,0.1,16620.0,0.2,31.6
2026-05-09T02:00,Gresik,0.22,5.1,0.0,37640.0,0.2,31.6
2026-05-09T03:00,Gresik,0.2,4.7,0.0,39820.0,0.2,31.6
2026-05-09T04:00,Gresik,0.2,6.3,0.0,37120.0,0.0,31.5
2026-05-09T05:00,Gresik,0.2,6.5,0.0,37120.0,0.2,31.5
2026-05-09T06:00,Gresik,0.2,6.7,0.0,37120.0,0.2,31.5
2026-05-09T07:00,Gresik,0.2,5.0,0.0,43120.0,0.2,31.5
2026-05-09T08:00,Gresik,0.2,4.6,0.0,43120.0,0.2,31.5
2026-05-09T09:00,Gresik,0.18,4.5,0.0,25620.0,0.2,31.6
2026-05-09T10:00,Gresik,0.18,5.8,0.0,46880.0,0.2,31.8
2026-05-09T11:00,Gresik,0.18,7.8,0.0,48460.0,0.0,31.9
2026-05-09T12:00,Gresik,0.18,10.1,0.0,48460.0,0.2,32.0
2026-05-09T13:00,Gresik,0.18,12.8,0.0,48460.0,0.2,32.0
2026-05-09T14:00,Gresik,0.18,10.5,0.0,10680.0,0.2,32.0
2026-05-09T15:00,Gresik,0.18,13.3,0.2,7820.0,0.2,32.0
