time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Kangean,0.58,11.7,0.0,49040.0,0.2,30.1
2026-05-08T01:00,Kangean,0.58,10.7,0.0,49040.0,0.9,30.1
2026-05-08T02:00,Kangean,0.6,10.6,0.0,33860.0,1.5,30.1
2026-05-08T03:00,Kangean,0.62,11.3,0.0,27520.0,2.1,30.0
2026-05-08T04:00,Kangean,0.64,11.4,0.0,12440.0,2.3,30.0
2026-05-08T05:00,Kangean,0.64,13.0,0.1,17980.0,2.2,30.0
2026-05-08T06:00,Kangean,0.66,14.3,0.0,19620.0,2.1,30.0
2026-05-08T07:00,Kangean,0.66,19.1,0.0,28600.0,1.5,30.0
2026-05-08T08:00,Kangean,0.66,20.6,0.0,24940.0,1.1,30.0
2026-05-08T09:00,Kangean,0.66,20.8,0.1,19240.0,0.6,30.0
2026-05-08T10:00,Kangean,0.66,20.6,0.0,29160.0,0.6,30.1
2026-05-08T11:00,Kangean,0.66,20.4,0.0,29160.0,0.6,30.2
2026-05-08T12:00,Kangean,0.68,19.2,0.0,53000.0,0.8,30.2
2026-05-08T13:00,Kangean,0.68,21.1,0.0,52980.0,0.8,30.2
2026-05-08T14:00,Kangean,0.68,21.9,0.0,51120.0,0.9,30.2
2026-05-08T15:00,Kangean,0.7,20.0,0.0,51140.0,0.9,30.2
2026-05-08T16:00,Kangean,0.7,18.1,0.0,51120.0,0.9,30.2
2026-05-08T17:00,Kangean,0.7,16.0,0.0,48940.0,1.2,30.2
2026-05-08T18:00,Kangean,0.72,14.4,0.0,48920.0,1.4,30.2
2026-05-08T19:00,Kangean,0.72,15.5,0.0,48900.0,1.5,30.2
2026-05-08T20:00,Kangean,0.76,17.0,0.0,51060.0,1.7,30.2
2026-05-08T21:00,Kangean,0.8,17.2,0.0,48900.0,1.7,30.1
2026-05-08T22:00,Kangean,0.84,16.8,0.0,51040.0,1.4,30.1
2026-05-08T23:00,Kangean,0.84,17.1,0.0,51040.0,0.9,30.1
2026-05-09T00:00,Kangean,0.82,15.6,0.0,51020.0,0.3,30.0
2026-05-09T01:00,Kangean,0.82,15.7,0.0,51020.0,0.4,30.0
2026-05-09T02:00,Kangean,0.78,14.7,0.0,48860.0,1.2,30.0
2026-05-09T03:00,Kangean,0.76,13.9,0.0,48840.0,1.8,30.0
2026-05-09T04:00,Kangean,0.72,12.9,0.0,48840.0,2.0,30.0
2026-05-09T05:00,Kangean,0.7,14.4,0.0,35480.0,2.2,30.0
2026-05-09T06:00,Kangean,0.66,15.4,0.0,36320.0,2.1,30.0
2026-05-09T07:00,Kangean,0.64,14.7,0.0,41680.0,1.8,30.0
2026-05-09T08:00,Kangean,0.64,15.9,0.0,26920.0,1.3,30.0
2026-05-09T09:00,Kangean,0.62,17.4,0.1,17780.0,0.8,30.0
2026-05-09T10:00,Kangean,0.62,17.5,0.1,16900.0,0.8,30.1
2026-05-09T11:00,Kangean,0.62,18.4,0.1,16380.0,0.9,30.1
2026-05-09T12:00,Kangean,0.62,17.4,0.5,8280.0,1.1,30.2
2026-05-09T13:00,Kangean,0.62,15.7,0.1,13900.0,1.2,30.2
2026-05-09T14:00,Kangean,0.62,15.3,0.0,19980.0,1.3,30.2
2026-05-09T15:00,Kangean,0.64,15.7,0.1,17540.0,1.3,30.2
2026-05-09T16:00,Kangean,0.64,15.5,0.1,20680.0,1.4,30.2
2026-05-09T17:00,Kangean,0.66,14.7,0.0,32100.0,1.4,30.2
2026-05-09T18:00,Kangean,0.66,16.1,0.0,31360.0,1.5,30.1
2026-05-09T19:00,Kangean,0.68,17.4,0.0,14840.0,1.5,30.1
2026-05-09T20:00,Kangean,0.68,8.6,0.2,7760.0,1.7,30.1
2026-05-09T21:00,Kangean,0.66,9.4,0.5,7340.0,1.7,30.1
2026-05-09T22:00,Kangean,0.66,5.4,0.1,13120.0,1.5,30.1
2026-05-09T23:00,Kangean,0.66,5.1,0.0,24840.0,1.2,30.1
2026-05-10T00:00,Kangean,0.66,11.8,0.0,25300.0,0.8,30.0
2026-05-10T01:00,Kangean,0.66,11.8,0.0,31520.0,0.2,30.0
2026-05-10T02:00,Kangean,0.66,12.1,0.0,29380.0,0.6,30.0
2026-05-10T03:00,Kangean,0.66,13.8,0.0,32540.0,1.2,30.0
2026-05-10T04:00,Kangean,0.66,12.8,0.0,32520.0,1.6,30.0
2026-05-10T05:00,Kangean,0.66,14.8,0.0,18580.0,2.0,30.0
2026-05-10T06:00,Kangean,0.66,16.3,0.0,15160.0,2.1,30.0
2026-05-10T07:00,Kangean,0.66,17.9,0.0,50800.0,1.9,30.0
2026-05-10T08:00,Kangean,0.66,18.3,0.0,50800.0,1.5,30.0
2026-05-10T09:00,Kangean,0.68,18.8,0.0,50780.0,0.9,30.0
2026-05-10T10:00,Kangean,0.68,18.9,0.0,50780.0,0.6,30.0
2026-05-10T11:00,Kangean,0.66,19.5,0.0,19380.0,0.7,30.1
2026-05-10T12:00,Kangean,0.66,18.9,0.0,50760.0,1.0,30.1
2026-05-10T13:00,Kangean,0.64,17.2,0.0,42240.0,1.3,30.2
2026-05-10T14:00,Kangean,0.62,15.8,0.0,50760.0,1.4,30.2
2026-05-10T15:00,Kangean,0.62,15.8,0.0,50740.0,1.4,30.2
2026-05-10T16:00,Kangean,0.6,15.5,0.0,50740.0,1.3,30.2
2026-05-10T17:00,Kangean,0.6,14.0,0.0,50740.0,1.3,30.2
2026-05-10T18:00,Kangean,0.62,13.3,0.0,50720.0,1.3,30.1
2026-05-10T19:00,Kangean,0.62,12.1,0.0,48560.0,1.3,30.1
2026-05-10T20:00,Kangean,0.64,12.9,0.0,48540.0,1.3,30.1
2026-05-10T21:00,Kangean,0.66,11.5,0.0,48540.0,1.2,30.1
2026-05-10T22:00,Kangean,0.68,10.6,0.0,48540.0,1.2,30.1
2026-05-10T23:00,Kangean,0.66,10.3,0.0,48520.0,0.9,30.1
2026-05-11T00:00,Kangean,0.64,9.8,0.0,44980.0,0.5,30.0
2026-05-11T01:00,Kangean,0.62,12.2,0.0,48520.0,0.2,30.0
2026-05-11T02:00,Kangean,0.6,13.6,0.0,48500.0,0.6,30.0
2026-05-11T03:00,Kangean,0.6,14.0,0.0,48500.0,1.0,30.0
2026-05-11T04:00,Kangean,0.58,13.1,0.0,48500.0,1.6,30.0
2026-05-11T05:00,Kangean,0.58,13.4,0.0,48480.0,2.0,30.0
2026-05-11T06:00,Kangean,0.58,14.1,0.0,35540.0,2.2,30.0
2026-05-11T07:00,Kangean,0.58,15.8,0.0,50640.0,2.1,30.0
2026-05-11T08:00,Kangean,0.58,17.3,0.0,52520.0,1.9,30.0
2026-05-11T09:00,Kangean,0.58,18.8,0.0,28360.0,1.3,30.0
2026-05-11T10:00,Kangean,0.58,18.9,0.1,12820.0,0.7,30.0
2026-05-11T11:00,Kangean,0.58,20.0,0.4,10040.0,0.6,30.1
2026-05-11T12:00,Kangean,0.58,20.7,0.2,11760.0,0.9,30.1
2026-05-11T13:00,Kangean,0.58,19.2,0.3,11380.0,1.3,30.1
2026-05-11T14:00,Kangean,0.58,18.5,0.1,50580.0,1.5,30.1
2026-05-11T15:00,Kangean,0.58,17.2,0.0,50580.0,1.7,30.1
2026-05-11T16:00,Kangean,0.58,15.3,0.0,50560.0,1.7,30.1
2026-05-11T17:00,Kangean,0.56,13.5,0.0,50560.0,1.5,30.1
2026-05-11T18:00,Kangean,0.54,12.0,0.0,50560.0,1.3,30.1
2026-05-11T19:00,Kangean,0.52,11.2,0.0,48380.0,1.3,30.1
2026-05-11T20:00,Kangean,0.54,10.0,0.0,48380.0,1.0,30.1
2026-05-11T21:00,Kangean,0.54,10.1,0.0,48360.0,1.0,30.0
2026-05-11T22:00,Kangean,0.56,9.8,0.0,48360.0,1.0,30.0
2026-05-11T23:00,Kangean,0.58,10.5,0.0,48360.0,0.9,30.0
