time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Paciran,0.64,8.8,0.0,36500.0,0.0,30.9
2026-05-08T01:00,Paciran,0.64,8.7,0.0,36500.0,0.0,30.8
2026-05-08T02:00,Paciran,0.64,10.3,0.0,36480.0,0.0,30.8
2026-05-08T03:00,Paciran,0.62,11.4,0.0,33180.0,0.0,30.7
2026-05-08T04:00,Paciran,0.62,11.4,0.0,36480.0,0.0,30.6
2026-05-08T05:00,Paciran,0.6,11.3,0.0,36460.0,0.0,30.6
2026-05-08T06:00,Paciran,0.6,11.2,0.0,39160.0,0.0,30.6
2026-05-08T07:00,Paciran,0.58,10.7,0.0,42460.0,0.0,30.6
2026-05-08T08:00,Paciran,0.58,9.8,0.0,44440.0,0.0,30.6
2026-05-08T09:00,Paciran,0.58,6.7,0.0,46180.0,0.2,30.8
2026-05-08T10:00,Paciran,0.58,5.3,0.0,29000.0,0.2,31.0
2026-05-08T11:00,Paciran,0.58,10.1,0.0,47760.0,0.2,31.0
2026-05-08T12:00,Paciran,0.56,10.3,0.0,47760.0,0.2,31.2
2026-05-08T13:00,Paciran,0.56,14.0,0.0,47740.0,0.3,31.2
2026-05-08T14:00,Paciran,0.6,16.4,0.0,47740.0,0.3,31.2
2026-05-08T15:00,Paciran,0.62,16.0,0.0,6800.0,0.4,31.2
2026-05-08T16:00,Paciran,0.66,13.8,0.3,36740.0,0.3,31.2
2026-05-08T17:00,Paciran,0.66,12.8,0.0,44400.0,0.3,31.1
2026-05-08T18:00,Paciran,0.68,12.5,0.0,44400.0,0.2,31.0
2026-05-08T19:00,Paciran,0.68,14.4,0.0,23220.0,0.2,31.0
2026-05-08T20:00,Paciran,0.7,14.1,0.0,37480.0,0.2,31.0
2026-05-08T21:00,Paciran,0.7,6.4,0.0,35460.0,0.2,31.0
2026-05-08T22:00,Paciran,0.72,10.2,0.0,26920.0,0.0,30.9
2026-05-08T23:00,Paciran,0.7,8.8,0.0,33720.0,0.0,30.9
2026-05-09T00:00,Paciran,0.68,4.3,0.0,16660.0,0.0,30.9
2026-05-09T01:00,Paciran,0.66,7.8,0.0,35020.0,0.0,30.9
2026-05-09T02:00,Paciran,0.66,7.6,0.0,36380.0,0.0,30.8
2026-05-09T03:00,Paciran,0.66,8.7,0.0,35480.0,0.0,30.8
2026-05-09T04:00,Paciran,0.66,9.2,0.0,35600.0,0.0,30.8
2026-05-09T05:00,Paciran,0.64,8.7,0.0,36360.0,0.0,30.7
2026-05-09T06:00,Paciran,0.64,8.7,0.0,36360.0,0.0,30.7
2026-05-09T07:00,Paciran,0.62,7.1,0.0,42360.0,0.0,30.7
2026-05-09T08:00,Paciran,0.64,5.6,0.0,42360.0,0.0,30.8
2026-05-09T09:00,Paciran,0.68,8.0,0.0,37400.0,0.2,30.9
2026-05-09T10:00,Paciran,0.7,7.1,0.0,19480.0,0.2,31.0
2026-05-09T11:00,Paciran,0.66,8.3,0.1,19460.0,0.3,31.1
2026-05-09T12:00,Paciran,0.62,8.8,0.1,10980.0,0.2,31.2
2026-05-09T13:00,Paciran,0.58,8.5,0.2,6940.0,0.2,31.2
2026-05-09T14:00,Paciran,0.56,9.8,0.4,7540.0,0.3,31.2
2026-05-09T15:00,Paciran,0.56,10.8,0.3,8680.0,0.3,31.2
2026-05-09T16:00,Paciran,0.54,10.1,0.2,13720.0,0.2,31.2
2026-05-09T17:00,Paciran,0.52,4.8,0.0,44300.0,0.2,31.1
2026-05-09T18:00,Paciran,0.5,5.6,0.0,44300.0,0.2,31.1
2026-05-09T19:00,Paciran,0.48,8.0,0.0,42300.0,0.2,31.0
2026-05-09T20:00,Paciran,0.48,9.7,0.2,8700.0,0.2,31.0
2026-05-09T21:00,Paciran,0.46,10.7,0.1,22700.0,0.2,31.0
2026-05-09T22:00,Paciran,0.46,9.2,0.0,35480.0,0.2,31.0
2026-05-09T23:00,Paciran,0.46,9.7,0.0,38960.0,0.0,31.0
2026-05-10T00:00,Paciran,0.44,9.2,0.0,35480.0,0.0,30.9
2026-05-10T01:00,Paciran,0.44,2.1,0.0,34620.0,0.0,30.9
2026-05-10T02:00,Paciran,0.44,5.4,0.0,32240.0,0.0,30.9
2026-05-10T03:00,Paciran,0.46,7.0,0.0,21380.0,0.0,30.9
2026-05-10T04:00,Paciran,0.46,8.4,0.1,20500.0,0.0,30.8
2026-05-10T05:00,Paciran,0.46,8.6,0.0,29640.0,0.0,30.8
2026-05-10T06:00,Paciran,0.48,9.7,0.0,36240.0,0.0,30.8
2026-05-10T07:00,Paciran,0.48,4.2,0.0,41420.0,0.0,30.8
2026-05-10T08:00,Paciran,0.52,2.3,0.0,41980.0,0.0,30.8
2026-05-10T09:00,Paciran,0.58,4.4,0.0,44220.0,0.0,30.9
2026-05-10T10:00,Paciran,0.62,9.8,0.0,44220.0,0.2,31.0
2026-05-10T11:00,Paciran,0.6,12.9,0.0,44220.0,0.3,31.0
2026-05-10T12:00,Paciran,0.6,10.7,0.1,12400.0,0.3,31.1
2026-05-10T13:00,Paciran,0.58,13.2,0.0,45960.0,0.3,31.1
2026-05-10T14:00,Paciran,0.6,16.1,0.2,6540.0,0.4,31.1
2026-05-10T15:00,Paciran,0.62,12.9,0.2,16440.0,0.4,31.1
2026-05-10T16:00,Paciran,0.64,14.3,0.0,44200.0,0.4,31.1
2026-05-10T17:00,Paciran,0.68,16.9,0.0,44200.0,0.4,31.1
2026-05-10T18:00,Paciran,0.72,13.9,0.0,34440.0,0.4,31.1
2026-05-10T19:00,Paciran,0.76,11.2,0.0,32680.0,0.4,31.0
2026-05-10T20:00,Paciran,0.78,9.0,0.0,38120.0,0.4,31.0
2026-05-10T21:00,Paciran,0.78,9.4,0.0,21560.0,0.4,31.0
2026-05-10T22:00,Paciran,0.8,9.5,0.2,16280.0,0.4,31.0
2026-05-10T23:00,Paciran,0.8,10.2,0.1,27920.0,0.4,30.9
2026-05-11T00:00,Paciran,0.82,10.3,0.0,36160.0,0.2,30.9
2026-05-11T01:00,Paciran,0.82,9.9,0.0,36160.0,0.2,30.9
2026-05-11T02:00,Paciran,0.8,10.1,0.0,36140.0,0.2,30.8
2026-05-11T03:00,Paciran,0.76,10.1,0.0,36140.0,0.2,30.8
2026-05-11T04:00,Paciran,0.74,10.5,0.0,36140.0,0.2,30.8
2026-05-11T05:00,Paciran,0.72,8.3,0.0,32840.0,0.2,30.7
