time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Pacitan,1.52,9.3,0.0,34960.0,0.9,28.9
2026-05-08T01:00,Pacitan,1.54,9.0,0.0,14940.0,0.9,28.8
2026-05-08T02:00,Pacitan,1.54,9.1,0.0,25260.0,1.1,28.8
2026-05-08T03:00,Pacitan,1.56,8.9,0.0,7580.0,1.1,28.8
2026-05-08T04:00,Pacitan,1.56,8.6,0.0,26900.0,1.1,28.7
2026-05-08T05:00,Pacitan,1.56,9.3,0.0,23160.0,1.1,28.6
2026-05-08T06:00,Pacitan,1.58,9.7,0.0,24340.0,1.1,28.6
2026-05-08T07:00,Pacitan,1.58,11.2,0.0,27940.0,1.1,28.6
2026-05-08T08:00,Pacitan,1.56,14.2,0.0,32600.0,1.1,28.6
2026-05-08T09:00,Pacitan,1.56,19.9,0.0,37960.0,1.1,28.7
2026-05-08T10:00,Pacitan,1.54,21.3,0.0,42640.0,1.1,28.8
2026-05-08T11:00,Pacitan,1.54,20.7,0.0,21140.0,1.1,28.8
2026-05-08T12:00,Pacitan,1.54,19.7,0.0,40500.0,1.1,28.9
2026-05-08T13:00,Pacitan,1.54,19.7,0.0,40740.0,1.1,28.9
2026-05-08T14:00,Pacitan,1.52,20.6,0.0,40740.0,1.1,28.9
2026-05-08T15:00,Pacitan,1.48,20.4,0.0,36900.0,1.1,29.0
2026-05-08T16:00,Pacitan,1.46,18.8,0.0,38700.0,1.1,29.0
2026-05-08T17:00,Pacitan,1.44,15.3,0.0,34860.0,1.1,29.0
2026-05-08T18:00,Pacitan,1.44,12.8,0.0,34720.0,1.1,28.9
2026-05-08T19:00,Pacitan,1.42,11.7,0.0,32560.0,1.1,28.9
2026-05-08T20:00,Pacitan,1.4,11.4,0.0,34240.0,1.0,28.9
2026-05-08T21:00,Pacitan,1.4,12.1,0.0,34700.0,1.0,28.9
2026-05-08T22:00,Pacitan,1.38,10.7,0.0,31800.0,1.0,28.8
2026-05-08T23:00,Pacitan,1.36,9.3,0.0,32180.0,1.0,28.8
2026-05-09T00:00,Pacitan,1.36,9.9,0.0,32580.0,1.0,28.7
2026-05-09T01:00,Pacitan,1.34,10.3,0.0,35120.0,1.0,28.6
2026-05-09T02:00,Pacitan,1.36,9.6,0.0,32120.0,0.7,28.6
2026-05-09T03:00,Pacitan,1.38,8.5,0.0,33360.0,0.7,28.6
2026-05-09T04:00,Pacitan,1.4,7.0,0.0,34880.0,0.7,28.5
2026-05-09T05:00,Pacitan,1.36,7.1,0.0,34860.0,0.7,28.5
2026-05-09T06:00,Pacitan,1.32,6.6,0.0,34840.0,0.7,28.5
2026-05-09T07:00,Pacitan,1.28,5.9,0.0,40580.0,0.7,28.5
2026-05-09T08:00,Pacitan,1.26,8.3,0.0,42520.0,0.7,28.5
2026-05-09T09:00,Pacitan,1.26,11.0,0.0,42520.0,0.9,28.5
2026-05-09T10:00,Pacitan,1.24,11.1,0.0,42540.0,0.9,28.6
2026-05-09T11:00,Pacitan,1.24,11.6,0.0,42560.0,0.9,28.6
2026-05-09T12:00,Pacitan,1.26,13.4,0.0,40640.0,0.9,28.7
2026-05-09T13:00,Pacitan,1.26,14.6,0.0,36940.0,1.1,28.8
2026-05-09T14:00,Pacitan,1.26,14.1,0.0,29100.0,0.9,28.8
2026-05-09T15:00,Pacitan,1.26,14.4,0.0,40640.0,0.9,28.8
2026-05-09T16:00,Pacitan,1.26,14.3,0.0,25240.0,0.9,28.8
2026-05-09T17:00,Pacitan,1.26,13.5,0.0,23020.0,0.9,28.8
2026-05-09T18:00,Pacitan,1.26,12.1,0.0,19840.0,0.9,28.7
2026-05-09T19:00,Pacitan,1.26,11.1,0.0,33280.0,0.9,28.7
2026-05-09T20:00,Pacitan,1.26,10.2,0.0,33720.0,0.9,28.6
2026-05-09T21:00,Pacitan,1.26,9.5,0.0,36260.0,0.9,28.6
2026-05-09T22:00,Pacitan,1.26,8.9,0.0,37300.0,0.9,28.6
2026-05-09T23:00,Pacitan,1.26,7.2,0.0,36320.0,0.9,28.5
2026-05-10T00:00,Pacitan,1.24,6.5,0.0,36280.0,1.1,28.5
2026-05-10T01:00,Pacitan,1.24,6.3,0.0,37340.0,1.1,28.5
2026-05-10T02:00,Pacitan,1.24,5.8,0.0,34760.0,1.1,28.5
2026-05-10T03:00,Pacitan,1.26,6.6,0.0,6280.0,0.9,28.5
2026-05-10T04:00,Pacitan,1.26,8.4,0.0,2340.0,0.9,28.4
2026-05-10T05:00,Pacitan,1.26,8.3,0.0,2940.0,0.9,28.4
2026-05-10T06:00,Pacitan,1.28,9.2,0.0,27700.0,0.9,28.4
2026-05-10T07:00,Pacitan,1.28,9.8,0.0,26200.0,0.9,28.4
2026-05-10T08:00,Pacitan,1.32,9.9,0.0,37200.0,0.9,28.4
2026-05-10T09:00,Pacitan,1.34,12.9,0.0,40440.0,0.9,28.5
2026-05-10T10:00,Pacitan,1.38,15.0,0.0,42420.0,1.1,28.5
2026-05-10T11:00,Pacitan,1.36,15.4,0.0,42440.0,1.1,28.5
2026-05-10T12:00,Pacitan,1.34,16.1,0.0,30000.0,1.1,28.6
2026-05-10T13:00,Pacitan,1.32,16.1,0.0,14600.0,1.1,28.6
2026-05-10T14:00,Pacitan,1.3,16.3,0.0,22740.0,1.1,28.6
2026-05-10T15:00,Pacitan,1.3,15.9,0.0,21000.0,1.1,28.6
2026-05-10T16:00,Pacitan,1.28,13.8,0.0,22540.0,1.1,28.6
2026-05-10T17:00,Pacitan,1.28,12.2,0.0,28880.0,1.1,28.6
2026-05-10T18:00,Pacitan,1.28,9.6,0.0,33400.0,1.1,28.6
2026-05-10T19:00,Pacitan,1.28,8.3,0.0,32960.0,1.1,28.6
2026-05-10T20:00,Pacitan,1.26,9.7,0.0,34500.0,1.1,28.5
2026-05-10T21:00,Pacitan,1.22,9.0,0.0,36660.0,1.1,28.5
2026-05-10T22:00,Pacitan,1.2,7.0,0.0,34640.0,1.1,28.5
2026-05-10T23:00,Pacitan,1.22,7.2,0.0,34640.0,0.9,28.5
2026-05-11T00:00,Pacitan,1.26,6.5,0.0,34640.0,0.9,28.5
2026-05-11T01:00,Pacitan,1.28,6.7,0.0,34660.0,0.9,28.4
2026-05-11T02:00,Pacitan,1.26,7.7,0.0,34660.0,0.9,28.4
2026-05-11T03:00,Pacitan,1.24,7.8,0.0,34360.0,0.9,28.4
2026-05-11T04:00,Pacitan,1.22,6.7,0.0,34660.0,0.9,28.3
2026-05-11T05:00,Pacitan,1.22,6.9,0.0,30660.0,0.9,28.2
2026-05-11T06:00,Pacitan,1.2,6.1,0.0,34040.0,0.9,28.2
2026-05-11T07:00,Pacitan,1.2,5.9,0.0,37180.0,0.9,28.2
2026-05-11T08:00,Pacitan,1.2,9.7,0.0,40360.0,0.9,28.3
2026-05-11T09:00,Pacitan,1.2,12.9,0.0,40360.0,0.9,28.4
2026-05-11T10:00,Pacitan,1.2,13.8,0.0,12220.0,0.9,28.4
2026-05-11T11:00,Pacitan,1.2,14.2,0.2,16360.0,1.1,28.5
2026-05-11T12:00,Pacitan,1.2,14.4,0.4,10100.0,1.1,28.5
2026-05-11T13:00,Pacitan,1.2,14.1,0.1,22680.0,1.1,28.5
2026-05-11T14:00,Pacitan,1.2,13.7,0.0,23760.0,1.1,28.5
2026-05-11T15:00,Pacitan,1.18,15.2,0.0,33440.0,1.1,28.5
2026-05-11T16:00,Pacitan,1.18,14.3,0.0,34640.0,1.1,28.5
2026-05-11T17:00,Pacitan,1.18,12.6,0.0,31620.0,1.1,28.5
2026-05-11T18:00,Pacitan,1.18,9.6,0.0,30480.0,1.1,28.5
2026-05-11T19:00,Pacitan,1.18,9.2,0.0,31580.0,1.1,28.5
