time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Pancer,1.42,6.8,0.0,29780.0,0.4,27.9
2026-05-08T01:00,Pancer,1.42,4.2,0.0,22560.0,0.4,27.9
2026-05-08T02:00,Pancer,1.44,6.1,0.0,3140.0,0.4,27.8
2026-05-08T03:00,Pancer,1.44,7.9,0.0,960.0,0.4,27.8
2026-05-08T04:00,Pancer,1.46,9.1,0.0,2080.0,0.4,27.8
2026-05-08T05:00,Pancer,1.48,9.3,0.0,5180.0,0.3,27.7
2026-05-08T06:00,Pancer,1.52,10.6,0.0,25040.0,0.4,27.7
2026-05-08T07:00,Pancer,1.54,7.6,0.0,27980.0,0.4,27.7
2026-05-08T08:00,Pancer,1.56,13.4,0.2,8060.0,0.4,27.7
2026-05-08T09:00,Pancer,1.56,14.5,0.3,8880.0,0.4,27.8
2026-05-08T10:00,Pancer,1.58,14.3,0.2,11240.0,0.5,27.9
2026-05-08T11:00,Pancer,1.6,14.7,0.1,9320.0,0.5,27.9
2026-05-08T12:00,Pancer,1.6,17.7,0.2,8120.0,0.5,28.0
2026-05-08T13:00,Pancer,1.62,20.4,0.2,12300.0,0.6,28.0
2026-05-08T14:00,Pancer,1.6,21.1,0.1,19920.0,0.6,28.0
2026-05-08T15:00,Pancer,1.58,21.0,0.0,47680.0,0.6,27.9
2026-05-08T16:00,Pancer,1.56,19.2,0.0,47660.0,0.5,27.9
2026-05-08T17:00,Pancer,1.56,16.3,0.0,45780.0,0.5,27.9
2026-05-08T18:00,Pancer,1.54,16.1,0.0,45760.0,0.4,27.8
2026-05-08T19:00,Pancer,1.54,14.1,0.0,45760.0,0.4,27.8
2026-05-08T20:00,Pancer,1.52,14.6,0.0,45760.0,0.4,27.7
2026-05-08T21:00,Pancer,1.52,13.2,0.0,45260.0,0.4,27.7
2026-05-08T22:00,Pancer,1.5,11.6,0.0,42600.0,0.3,27.6
2026-05-08T23:00,Pancer,1.52,10.4,0.0,42080.0,0.3,27.6
2026-05-09T00:00,Pancer,1.52,9.9,0.0,40660.0,0.3,27.5
2026-05-09T01:00,Pancer,1.54,9.9,0.0,42580.0,0.3,27.5
2026-05-09T02:00,Pancer,1.54,10.0,0.0,41560.0,0.3,27.5
2026-05-09T03:00,Pancer,1.52,10.2,0.0,36800.0,0.2,27.5
2026-05-09T04:00,Pancer,1.52,8.4,0.0,38920.0,0.2,27.5
2026-05-09T05:00,Pancer,1.52,7.5,0.0,36220.0,0.2,27.5
2026-05-09T06:00,Pancer,1.54,8.3,0.0,41740.0,0.3,27.5
2026-05-09T07:00,Pancer,1.54,5.3,0.0,45700.0,0.3,27.5
2026-05-09T08:00,Pancer,1.54,9.9,0.0,45700.0,0.2,27.5
2026-05-09T09:00,Pancer,1.52,12.6,0.1,12620.0,0.2,27.6
2026-05-09T10:00,Pancer,1.52,14.5,0.5,7860.0,0.2,27.6
2026-05-09T11:00,Pancer,1.52,16.3,0.2,47560.0,0.3,27.7
