time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Popoh,1.32,3.1,0.0,25560.0,0.6,28.5
2026-05-08T01:00,Popoh,1.34,1.7,0.0,30520.0,0.7,28.5
2026-05-08T02:00,Popoh,1.36,3.2,0.0,19680.0,0.7,28.5
2026-05-08T03:00,Popoh,1.36,3.2,0.0,27660.0,0.7,28.5
2026-05-08T04:00,Popoh,1.38,3.7,0.0,26960.0,0.7,28.5
2026-05-08T05:00,Popoh,1.4,3.1,0.0,24140.0,0.9,28.5
2026-05-08T06:00,Popoh,1.4,2.0,0.0,31000.0,0.9,28.5
2026-05-08T07:00,Popoh,1.42,4.6,0.0,32700.0,0.9,28.5
2026-05-08T08:00,Popoh,1.42,14.0,0.1,18240.0,0.9,28.5
2026-05-08T09:00,Popoh,1.4,15.7,0.2,19280.0,0.9,28.5
2026-05-08T10:00,Popoh,1.4,16.3,0.0,26200.0,0.9,28.5
2026-05-08T11:00,Popoh,1.4,17.2,0.0,25760.0,1.1,28.6
2026-05-08T12:00,Popoh,1.38,18.8,0.0,32360.0,1.1,28.6
2026-05-08T13:00,Popoh,1.38,19.2,0.0,29120.0,1.1,28.7
2026-05-08T14:00,Popoh,1.36,20.3,0.0,30280.0,1.3,28.7
2026-05-08T15:00,Popoh,1.34,19.4,0.0,33220.0,1.3,28.7
2026-05-08T16:00,Popoh,1.32,17.6,0.0,31540.0,1.3,28.7
2026-05-08T17:00,Popoh,1.3,13.6,0.0,38560.0,1.3,28.7
2026-05-08T18:00,Popoh,1.3,11.3,0.0,32420.0,1.1,28.6
2026-05-08T19:00,Popoh,1.28,6.7,0.0,38880.0,1.1,28.6
2026-05-08T20:00,Popoh,1.28,5.0,0.0,38780.0,1.1,28.6
2026-05-08T21:00,Popoh,1.26,0.9,0.0,38520.0,1.1,28.6
2026-05-08T22:00,Popoh,1.26,0.2,0.0,36100.0,1.1,28.5
2026-05-08T23:00,Popoh,1.26,1.5,0.0,32880.0,0.9,28.5
2026-05-09T00:00,Popoh,1.26,1.7,0.0,26120.0,0.9,28.5
2026-05-09T01:00,Popoh,1.26,1.4,0.0,32900.0,0.9,28.5
2026-05-09T02:00,Popoh,1.28,1.7,0.0,26140.0,0.9,28.4
2026-05-09T03:00,Popoh,1.3,0.8,0.0,26140.0,0.9,28.4
2026-05-09T04:00,Popoh,1.32,0.9,0.0,26120.0,0.9,28.4
2026-05-09T05:00,Popoh,1.28,0.4,0.0,260.0,0.9,28.4
2026-05-09T06:00,Popoh,1.26,1.3,0.0,180.0,0.7,28.4
2026-05-09T07:00,Popoh,1.22,2.8,0.0,10500.0,0.7,28.4
2026-05-09T08:00,Popoh,1.24,6.4,0.0,41880.0,0.7,28.4
2026-05-09T09:00,Popoh,1.24,10.0,0.0,43860.0,0.9,28.5
2026-05-09T10:00,Popoh,1.26,8.9,0.0,43880.0,0.9,28.5
2026-05-09T11:00,Popoh,1.26,9.5,0.0,43900.0,1.1,28.6
2026-05-09T12:00,Popoh,1.24,10.7,0.1,11400.0,1.1,28.6
2026-05-09T13:00,Popoh,1.24,13.9,0.3,8300.0,1.1,28.7
2026-05-09T14:00,Popoh,1.24,16.1,0.1,18460.0,1.1,28.7
2026-05-09T15:00,Popoh,1.26,14.8,0.0,28960.0,1.1,28.6
2026-05-09T16:00,Popoh,1.26,13.4,0.8,8600.0,1.1,28.6
2026-05-09T17:00,Popoh,1.26,11.5,0.1,14400.0,1.1,28.6
2026-05-09T18:00,Popoh,1.26,9.2,0.0,15880.0,1.1,28.5
2026-05-09T19:00,Popoh,1.26,1.2,0.0,36260.0,0.9,28.5
2026-05-09T20:00,Popoh,1.26,0.7,0.0,37880.0,0.9,28.5
2026-05-09T21:00,Popoh,1.26,1.3,0.0,38600.0,0.9,28.5
2026-05-09T22:00,Popoh,1.26,0.8,0.0,35960.0,0.7,28.4
2026-05-09T23:00,Popoh,1.26,0.9,0.0,35960.0,0.7,28.4
2026-05-10T00:00,Popoh,1.26,2.3,0.0,29220.0,0.7,28.4
2026-05-10T01:00,Popoh,1.26,1.9,0.0,31480.0,0.7,28.4
2026-05-10T02:00,Popoh,1.26,2.3,0.0,25220.0,0.7,28.3
2026-05-10T03:00,Popoh,1.28,2.6,0.0,25620.0,0.7,28.3
2026-05-10T04:00,Popoh,1.28,2.8,0.0,19240.0,0.7,28.2
2026-05-10T05:00,Popoh,1.28,2.6,0.0,17500.0,0.7,28.2
2026-05-10T06:00,Popoh,1.3,1.5,0.0,19160.0,0.7,28.2
2026-05-10T07:00,Popoh,1.3,2.1,0.0,31760.0,0.9,28.2
2026-05-10T08:00,Popoh,1.3,9.6,0.1,38020.0,0.9,28.2
2026-05-10T09:00,Popoh,1.32,9.8,0.0,15920.0,0.9,28.2
2026-05-10T10:00,Popoh,1.32,11.7,0.1,20460.0,0.9,28.4
2026-05-10T11:00,Popoh,1.32,12.6,0.2,10260.0,1.1,28.4
