time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Prigi,1.32,8.4,0.1,14640.0,0.6,28.9
2026-05-08T01:00,Prigi,1.34,5.8,0.1,13560.0,0.7,28.9
2026-05-08T02:00,Prigi,1.36,5.1,0.1,8780.0,0.7,28.8
2026-05-08T03:00,Prigi,1.36,4.0,0.3,9280.0,0.9,28.8
2026-05-08T04:00,Prigi,1.38,5.7,0.2,15020.0,0.9,28.8
2026-05-08T05:00,Prigi,1.38,6.8,0.1,10800.0,0.9,28.7
2026-05-08T06:00,Prigi,1.4,6.9,0.1,8300.0,0.9,28.6
2026-05-08T07:00,Prigi,1.4,10.0,0.1,15080.0,0.7,28.6
2026-05-08T08:00,Prigi,1.38,14.7,0.0,18800.0,0.7,28.6
2026-05-08T09:00,Prigi,1.38,15.7,0.2,15940.0,0.6,28.7
2026-05-08T10:00,Prigi,1.36,14.9,0.1,32740.0,0.7,28.8
2026-05-08T11:00,Prigi,1.36,15.5,0.1,41240.0,0.9,28.8
2026-05-08T12:00,Prigi,1.34,16.0,0.0,41540.0,1.1,28.9
2026-05-08T13:00,Prigi,1.34,15.6,0.1,41860.0,1.3,28.9
2026-05-08T14:00,Prigi,1.32,15.2,0.0,41860.0,1.3,28.9
2026-05-08T15:00,Prigi,1.3,15.2,0.2,16020.0,1.4,28.9
2026-05-08T16:00,Prigi,1.28,14.0,0.0,37960.0,1.4,28.9
2026-05-08T17:00,Prigi,1.26,10.2,0.0,29620.0,1.3,28.9
2026-05-08T18:00,Prigi,1.26,9.7,0.0,24940.0,1.3,28.8
2026-05-08T19:00,Prigi,1.24,9.7,0.0,27540.0,1.1,28.8
2026-05-08T20:00,Prigi,1.22,9.5,0.0,31240.0,0.8,28.8
2026-05-08T21:00,Prigi,1.22,8.6,0.0,31240.0,0.6,28.8
2026-05-08T22:00,Prigi,1.2,6.5,0.0,25320.0,0.5,28.8
2026-05-08T23:00,Prigi,1.2,6.1,0.0,27860.0,0.5,28.7
2026-05-09T00:00,Prigi,1.18,3.3,0.0,35700.0,0.6,28.7
2026-05-09T01:00,Prigi,1.18,5.8,0.0,32060.0,0.6,28.6
2026-05-09T02:00,Prigi,1.2,5.6,0.0,34780.0,0.7,28.6
2026-05-09T03:00,Prigi,1.24,4.2,0.0,33140.0,0.7,28.6
2026-05-09T04:00,Prigi,1.26,1.5,0.0,34520.0,0.7,28.5
2026-05-09T05:00,Prigi,1.22,0.9,0.0,35940.0,0.7,28.5
2026-05-09T06:00,Prigi,1.2,0.5,0.0,34540.0,0.7,28.5
2026-05-09T07:00,Prigi,1.16,2.3,0.0,38500.0,0.7,28.5
2026-05-09T08:00,Prigi,1.16,6.9,0.0,41700.0,0.6,28.5
2026-05-09T09:00,Prigi,1.16,9.6,0.0,41700.0,0.6,28.6
2026-05-09T10:00,Prigi,1.16,10.5,0.0,41700.0,0.6,28.6
2026-05-09T11:00,Prigi,1.16,12.0,0.0,33240.0,0.6,28.7
2026-05-09T12:00,Prigi,1.16,12.7,0.0,41760.0,0.6,28.8
2026-05-09T13:00,Prigi,1.16,12.5,0.0,24380.0,0.7,28.8
2026-05-09T14:00,Prigi,1.16,12.3,0.0,41760.0,0.7,28.8
2026-05-09T15:00,Prigi,1.16,12.8,0.0,34200.0,0.9,28.8
2026-05-09T16:00,Prigi,1.16,13.5,0.2,8520.0,0.9,28.8
2026-05-09T17:00,Prigi,1.16,11.3,0.4,13280.0,0.9,28.8
2026-05-09T18:00,Prigi,1.14,7.9,0.1,15360.0,0.9,28.8
2026-05-09T19:00,Prigi,1.14,3.2,0.1,22700.0,0.9,28.8
2026-05-09T20:00,Prigi,1.14,3.2,0.0,26180.0,0.9,28.8
2026-05-09T21:00,Prigi,1.14,3.5,0.0,30420.0,0.7,28.7
2026-05-09T22:00,Prigi,1.14,3.4,0.0,33440.0,0.6,28.7
2026-05-09T23:00,Prigi,1.14,1.3,0.0,25860.0,0.6,28.6
2026-05-10T00:00,Prigi,1.14,1.4,0.0,15580.0,0.6,28.6
2026-05-10T01:00,Prigi,1.14,2.7,0.1,15920.0,0.6,28.6
2026-05-10T02:00,Prigi,1.14,0.9,0.1,14540.0,0.6,28.5
2026-05-10T03:00,Prigi,1.16,1.2,0.1,13140.0,0.6,28.5
2026-05-10T04:00,Prigi,1.16,2.3,0.1,15360.0,0.7,28.5
2026-05-10T05:00,Prigi,1.16,3.1,0.1,11600.0,0.7,28.5
2026-05-10T06:00,Prigi,1.16,3.3,0.1,13020.0,0.7,28.4
2026-05-10T07:00,Prigi,1.16,6.1,0.1,27320.0,0.9,28.4
2026-05-10T08:00,Prigi,1.16,12.7,0.1,26160.0,0.9,28.5
2026-05-10T09:00,Prigi,1.18,12.4,0.1,30620.0,0.7,28.5
2026-05-10T10:00,Prigi,1.18,13.2,0.0,41580.0,0.7,28.5
2026-05-10T11:00,Prigi,1.18,14.5,0.0,25400.0,0.7,28.6
2026-05-10T12:00,Prigi,1.16,15.1,0.0,21240.0,0.7,28.6
2026-05-10T13:00,Prigi,1.16,15.3,0.0,23980.0,0.7,28.7
2026-05-10T14:00,Prigi,1.16,15.7,0.0,39600.0,0.9,28.7
2026-05-10T15:00,Prigi,1.14,14.9,0.0,41640.0,0.9,28.7
2026-05-10T16:00,Prigi,1.14,13.0,0.0,37800.0,0.9,28.7
2026-05-10T17:00,Prigi,1.14,9.7,0.0,38400.0,1.1,28.7
2026-05-10T18:00,Prigi,1.14,9.2,0.0,38360.0,1.1,28.6
2026-05-10T19:00,Prigi,1.14,9.8,0.0,41560.0,1.1,28.6
2026-05-10T20:00,Prigi,1.12,9.4,0.0,22080.0,1.1,28.6
2026-05-10T21:00,Prigi,1.12,7.8,0.1,38300.0,1.1,28.6
2026-05-10T22:00,Prigi,1.1,6.2,0.0,25540.0,0.9,28.5
2026-05-10T23:00,Prigi,1.14,3.2,0.0,32980.0,0.7,28.5
2026-05-11T00:00,Prigi,1.2,0.6,0.0,34820.0,0.6,28.5
2026-05-11T01:00,Prigi,1.24,0.9,0.0,20980.0,0.6,28.5
2026-05-11T02:00,Prigi,1.2,2.6,0.0,22100.0,0.6,28.4
2026-05-11T03:00,Prigi,1.16,3.6,0.0,23820.0,0.6,28.4
2026-05-11T04:00,Prigi,1.12,2.9,0.0,20020.0,0.5,28.4
2026-05-11T05:00,Prigi,1.12,1.3,0.0,20520.0,0.5,28.3
2026-05-11T06:00,Prigi,1.1,0.8,0.0,28160.0,0.7,28.3
2026-05-11T07:00,Prigi,1.1,2.3,0.0,37180.0,0.7,28.3
2026-05-11T08:00,Prigi,1.08,10.4,0.0,41060.0,0.9,28.3
2026-05-11T09:00,Prigi,1.08,12.1,0.0,39520.0,0.9,28.4
2026-05-11T10:00,Prigi,1.06,12.0,0.0,26600.0,0.9,28.4
2026-05-11T11:00,Prigi,1.06,13.7,0.0,41480.0,0.7,28.5
2026-05-11T12:00,Prigi,1.04,14.0,0.0,33580.0,0.7,28.5
2026-05-11T13:00,Prigi,1.04,14.5,0.0,40320.0,0.7,28.5
2026-05-11T14:00,Prigi,1.04,13.9,0.0,41540.0,0.7,28.5
2026-05-11T15:00,Prigi,1.04,14.3,0.0,41520.0,0.7,28.6
2026-05-11T16:00,Prigi,1.04,13.2,0.0,38280.0,0.7,28.6
2026-05-11T17:00,Prigi,1.04,12.0,0.0,31520.0,0.9,28.5
2026-05-11T18:00,Prigi,1.04,11.2,0.0,24560.0,0.9,28.5
2026-05-11T19:00,Prigi,1.04,9.9,0.0,28800.0,1.1,28.5
2026-05-11T20:00,Prigi,1.06,9.4,0.0,13880.0,1.1,28.5
2026-05-11T21:00,Prigi,1.08,8.8,0.0,14060.0,1.3,28.5
2026-05-11T22:00,Prigi,1.1,9.5,0.1,20800.0,1.1,28.5
2026-05-11T23:00,Prigi,1.08,7.7,0.0,25340.0,1.1,28.4
2026-05-12T00:00,Prigi,1.08,4.6,0.0,35800.0,0.7,28.4
2026-05-12T01:00,Prigi,1.06,2.3,0.0,35540.0,0.7,28.4
2026-05-12T02:00,Prigi,1.06,2.7,0.0,36340.0,0.6,28.3
2026-05-12T03:00,Prigi,1.04,1.3,0.0,31640.0,0.6,28.3
2026-05-12T04:00,Prigi,1.04,0.9,0.0,18780.0,0.7,28.2
2026-05-12T05:00,Prigi,1.04,2.1,0.0,15800.0,0.7,28.2
2026-05-12T06:00,Prigi,1.06,3.5,0.0,12680.0,0.9,28.2
2026-05-12T07:00,Prigi,1.06,8.8,0.0,22520.0,0.9,28.2
2026-05-12T08:00,Prigi,1.06,11.6,0.1,36600.0,1.1,28.2
2026-05-12T09:00,Prigi,1.08,10.2,0.0,40420.0,1.3,28.3
2026-05-12T10:00,Prigi,1.08,11.9,0.0,35140.0,1.3,28.4
2026-05-12T11:00,Prigi,1.08,13.0,0.0,41400.0,1.1,28.5
2026-05-12T12:00,Prigi,1.1,11.7,0.0,41420.0,0.9,28.5
2026-05-12T13:00,Prigi,1.1,12.0,0.0,21620.0,0.7,28.5
2026-05-12T14:00,Prigi,1.12,12.5,0.0,19460.0,0.7,28.5
2026-05-12T15:00,Prigi,1.12,13.2,0.0,19540.0,0.5,28.5
2026-05-12T16:00,Prigi,1.14,12.2,0.0,17040.0,0.5,28.5
2026-05-12T17:00,Prigi,1.16,11.8,0.0,14500.0,0.7,28.5
2026-05-12T18:00,Prigi,1.18,11.1,0.0,9960.0,0.7,28.5
2026-05-12T19:00,Prigi,1.2,10.4,0.2,10340.0,0.9,28.5
2026-05-12T20:00,Prigi,1.22,9.3,0.1,6680.0,1.1,28.5
2026-05-12T21:00,Prigi,1.26,7.8,0.2,6360.0,1.3,28.5
2026-05-12T22:00,Prigi,1.28,9.0,0.1,7020.0,1.3,28.4
2026-05-12T23:00,Prigi,1.3,8.2,0.2,4560.0,1.1,28.4
2026-05-13T00:00,Prigi,1.32,7.5,0.1,12080.0,0.9,28.4
2026-05-13T01:00,Prigi,1.34,9.2,0.0,7240.0,0.7,28.3
2026-05-13T02:00,Prigi,1.34,7.4,0.2,5260.0,0.5,28.2
2026-05-13T03:00,Prigi,1.32,6.3,0.2,7200.0,0.5,28.2
2026-05-13T04:00,Prigi,1.32,4.9,0.1,6360.0,0.5,28.2
2026-05-13T05:00,Prigi,1.3,3.8,0.1,10200.0,0.5,28.2
2026-05-13T06:00,Prigi,1.28,2.7,0.0,10860.0,0.7,28.1
2026-05-13T07:00,Prigi,1.26,8.1,0.1,9440.0,1.1,28.1
2026-05-13T08:00,Prigi,1.24,12.5,0.1,7660.0,1.3,28.1
2026-05-13T09:00,Prigi,1.24,14.7,0.2,11420.0,1.5,28.1
2026-05-13T10:00,Prigi,1.22,14.7,0.1,8940.0,1.6,28.1
2026-05-13T11:00,Prigi,1.2,16.5,0.1,16260.0,1.6,28.2
2026-05-13T12:00,Prigi,1.2,16.1,0.1,6700.0,1.5,28.2
2026-05-13T13:00,Prigi,1.18,16.5,0.3,10300.0,1.3,28.2
2026-05-13T14:00,Prigi,1.18,16.1,0.1,12320.0,1.1,28.2
2026-05-13T15:00,Prigi,1.16,15.0,0.1,8920.0,0.9,28.2
2026-05-13T16:00,Prigi,1.16,13.4,0.1,10460.0,0.9,28.2
2026-05-13T17:00,Prigi,1.16,10.9,0.1,6880.0,0.9,28.2
2026-05-13T18:00,Prigi,1.16,10.1,0.4,4980.0,0.9,28.1
2026-05-13T19:00,Prigi,1.16,9.3,0.2,11140.0,1.1,28.1
