time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Probolinggo,0.32,14.2,0.0,46620.0,0.2,31.1
2026-05-08T01:00,Probolinggo,0.32,13.8,0.0,46620.0,0.2,31.1
2026-05-08T02:00,Probolinggo,0.32,13.3,0.0,46600.0,0.2,31.1
2026-05-08T03:00,Probolinggo,0.32,13.7,0.0,46600.0,0.2,31.0
2026-05-08T04:00,Probolinggo,0.32,14.0,0.0,9480.0,0.0,31.0
2026-05-08T05:00,Probolinggo,0.32,15.5,0.0,46600.0,0.0,31.0
2026-05-08T06:00,Probolinggo,0.3,16.9,0.0,46580.0,0.0,31.0
2026-05-08T07:00,Probolinggo,0.3,16.2,0.0,46580.0,0.0,31.0
2026-05-08T08:00,Probolinggo,0.28,17.8,0.0,48320.0,0.2,31.0
2026-05-08T09:00,Probolinggo,0.26,19.3,0.0,48320.0,0.2,31.1
2026-05-08T10:00,Probolinggo,0.24,16.2,0.0,13340.0,0.2,31.2
2026-05-08T11:00,Probolinggo,0.24,14.0,0.1,21620.0,0.3,31.2
2026-05-08T12:00,Probolinggo,0.26,13.0,0.0,18240.0,0.3,31.3
2026-05-08T13:00,Probolinggo,0.26,10.9,0.2,15620.0,0.2,31.4
2026-05-08T14:00,Probolinggo,0.26,11.1,0.1,20400.0,0.2,31.4
2026-05-08T15:00,Probolinggo,0.26,16.4,0.4,4460.0,0.2,31.4
2026-05-08T16:00,Probolinggo,0.26,16.6,0.3,43860.0,0.2,31.3
2026-05-08T17:00,Probolinggo,0.26,15.4,0.0,46540.0,0.3,31.2
2026-05-08T18:00,Probolinggo,0.28,15.6,0.0,46520.0,0.3,31.2
2026-05-08T19:00,Probolinggo,0.28,14.8,0.0,44540.0,0.2,31.2
2026-05-08T20:00,Probolinggo,0.3,16.2,0.0,44520.0,0.2,31.1
2026-05-08T21:00,Probolinggo,0.3,14.2,0.0,46520.0,0.2,31.1
2026-05-08T22:00,Probolinggo,0.32,13.5,0.0,46500.0,0.2,31.1
2026-05-08T23:00,Probolinggo,0.32,11.2,0.0,37900.0,0.0,31.1
2026-05-09T00:00,Probolinggo,0.34,1.8,0.0,46500.0,0.0,31.0
2026-05-09T01:00,Probolinggo,0.34,10.0,0.0,46480.0,0.0,31.0
2026-05-09T02:00,Probolinggo,0.32,8.2,0.0,14960.0,0.0,31.0
2026-05-09T03:00,Probolinggo,0.32,9.0,0.0,21820.0,0.0,31.0
2026-05-09T04:00,Probolinggo,0.3,8.8,0.0,18600.0,0.0,31.0
2026-05-09T05:00,Probolinggo,0.28,8.3,0.0,21680.0,0.0,31.0
2026-05-09T06:00,Probolinggo,0.28,7.9,0.0,48220.0,0.0,31.0
2026-05-09T07:00,Probolinggo,0.26,6.5,0.0,49820.0,0.0,31.0
2026-05-09T08:00,Probolinggo,0.24,5.5,0.0,48220.0,0.0,31.0
2026-05-09T09:00,Probolinggo,0.24,4.4,0.0,48200.0,0.0,31.1
2026-05-09T10:00,Probolinggo,0.22,5.5,0.0,49820.0,0.0,31.2
2026-05-09T11:00,Probolinggo,0.22,10.7,0.0,49800.0,0.3,31.2
2026-05-09T12:00,Probolinggo,0.22,12.9,0.0,49800.0,0.3,31.3
2026-05-09T13:00,Probolinggo,0.22,15.5,0.0,48180.0,0.3,31.4
2026-05-09T14:00,Probolinggo,0.24,15.0,0.0,49800.0,0.3,31.4
2026-05-09T15:00,Probolinggo,0.28,13.2,0.0,49780.0,0.3,31.3
2026-05-09T16:00,Probolinggo,0.3,9.0,0.1,11920.0,0.2,31.3
2026-05-09T17:00,Probolinggo,0.3,13.1,0.0,46400.0,0.0,31.2
2026-05-09T18:00,Probolinggo,0.3,16.7,0.0,46400.0,0.0,31.2
2026-05-09T19:00,Probolinggo,0.3,14.6,0.0,44400.0,0.2,31.1
2026-05-09T20:00,Probolinggo,0.3,12.5,0.0,44400.0,0.2,31.1
2026-05-09T21:00,Probolinggo,0.28,10.5,0.0,44400.0,0.2,31.1
2026-05-09T22:00,Probolinggo,0.28,9.0,0.0,44380.0,0.2,31.1
2026-05-09T23:00,Probolinggo,0.26,9.2,0.0,41480.0,0.0,31.1
2026-05-10T00:00,Probolinggo,0.24,9.8,0.0,43920.0,0.0,31.0
2026-05-10T01:00,Probolinggo,0.22,10.0,0.0,38660.0,0.0,31.0
2026-05-10T02:00,Probolinggo,0.22,11.2,0.0,44360.0,0.0,31.0
2026-05-10T03:00,Probolinggo,0.22,10.2,0.0,46360.0,0.0,31.0
2026-05-10T04:00,Probolinggo,0.22,10.0,0.0,46360.0,0.0,31.0
2026-05-10T05:00,Probolinggo,0.22,9.0,0.0,46340.0,0.0,31.0
2026-05-10T06:00,Probolinggo,0.22,8.9,0.0,46340.0,0.0,31.0
2026-05-10T07:00,Probolinggo,0.22,11.1,0.0,46340.0,0.0,31.0
2026-05-10T08:00,Probolinggo,0.22,12.6,0.0,48100.0,0.2,31.0
2026-05-10T09:00,Probolinggo,0.22,11.7,0.0,24140.0,0.2,31.0
2026-05-10T10:00,Probolinggo,0.22,8.0,0.0,48080.0,0.0,31.1
2026-05-10T11:00,Probolinggo,0.22,9.1,0.0,49700.0,0.2,31.1
2026-05-10T12:00,Probolinggo,0.2,14.1,0.0,48080.0,0.3,31.2
2026-05-10T13:00,Probolinggo,0.2,13.6,0.2,48080.0,0.3,31.2
2026-05-10T14:00,Probolinggo,0.2,11.4,0.0,18480.0,0.3,31.2
2026-05-10T15:00,Probolinggo,0.22,6.0,0.1,10500.0,0.3,31.2
2026-05-10T16:00,Probolinggo,0.22,7.4,0.0,48060.0,0.2,31.2
2026-05-10T17:00,Probolinggo,0.24,9.4,0.0,48060.0,0.0,31.2
2026-05-10T18:00,Probolinggo,0.24,9.8,0.0,46280.0,0.0,31.1
2026-05-10T19:00,Probolinggo,0.26,9.6,0.0,44280.0,0.0,31.1
2026-05-10T20:00,Probolinggo,0.32,9.1,0.0,40980.0,0.0,31.1
2026-05-10T21:00,Probolinggo,0.36,8.8,0.0,40980.0,0.0,31.1
