time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Puger,0.92,0.6,0.0,21960.0,0.3,28.4
2026-05-08T01:00,Puger,0.92,0.8,0.0,28760.0,0.3,28.4
2026-05-08T02:00,Puger,0.92,0.6,0.0,12180.0,0.3,28.4
2026-05-08T03:00,Puger,0.94,0.9,0.0,2520.0,0.3,28.3
2026-05-08T04:00,Puger,0.94,2.4,0.0,28740.0,0.3,28.3
2026-05-08T05:00,Puger,0.94,2.4,0.0,25840.0,0.3,28.3
2026-05-08T06:00,Puger,0.94,3.8,0.0,28080.0,0.3,28.3
2026-05-08T07:00,Puger,0.94,1.9,0.0,38440.0,0.3,28.3
2026-05-08T08:00,Puger,0.96,4.8,0.0,31900.0,0.3,28.4
2026-05-08T09:00,Puger,0.96,8.9,0.0,25260.0,0.3,28.4
2026-05-08T10:00,Puger,0.98,10.6,0.1,12320.0,0.3,28.5
2026-05-08T11:00,Puger,1.0,12.4,0.2,7880.0,0.4,28.5
2026-05-08T12:00,Puger,1.04,14.8,0.4,9000.0,0.4,28.5
2026-05-08T13:00,Puger,1.06,16.5,0.3,9440.0,0.5,28.6
2026-05-08T14:00,Puger,1.06,19.5,0.1,15640.0,0.5,28.6
2026-05-08T15:00,Puger,1.04,21.4,0.0,25180.0,0.6,28.6
2026-05-08T16:00,Puger,1.04,20.6,0.0,44760.0,0.7,28.5
2026-05-08T17:00,Puger,1.04,17.6,0.0,43140.0,0.7,28.5
2026-05-08T18:00,Puger,1.04,14.9,0.0,44740.0,0.7,28.5
2026-05-08T19:00,Puger,1.04,14.2,0.0,44740.0,0.5,28.5
2026-05-08T20:00,Puger,1.02,9.4,0.0,44740.0,0.5,28.4
2026-05-08T21:00,Puger,1.0,4.9,0.0,41520.0,0.4,28.4
2026-05-08T22:00,Puger,0.98,2.0,0.0,16020.0,0.4,28.4
2026-05-08T23:00,Puger,0.98,1.6,0.0,16680.0,0.4,28.4
2026-05-09T00:00,Puger,0.98,2.7,0.0,18980.0,0.3,28.3
2026-05-09T01:00,Puger,0.98,1.0,0.0,35580.0,0.3,28.3
2026-05-09T02:00,Puger,0.96,0.2,0.0,35580.0,0.3,28.3
2026-05-09T03:00,Puger,0.96,1.0,0.0,4620.0,0.4,28.2
2026-05-09T04:00,Puger,0.94,4.5,0.0,28620.0,0.4,28.2
2026-05-09T05:00,Puger,0.94,5.0,0.0,35560.0,0.4,28.2
2026-05-09T06:00,Puger,0.92,3.9,0.0,38820.0,0.4,28.2
2026-05-09T07:00,Puger,0.92,2.1,0.0,38820.0,0.4,28.2
2026-05-09T08:00,Puger,0.96,2.5,0.0,44680.0,0.4,28.3
2026-05-09T09:00,Puger,0.98,1.9,0.0,46600.0,0.4,28.4
2026-05-09T10:00,Puger,1.02,4.6,0.0,46600.0,0.4,28.5
2026-05-09T11:00,Puger,1.0,7.2,0.0,46600.0,0.2,28.5
2026-05-09T12:00,Puger,1.0,14.5,0.0,22960.0,0.3,28.6
2026-05-09T13:00,Puger,0.98,14.5,0.0,21940.0,0.4,28.6
2026-05-09T14:00,Puger,0.98,17.6,0.0,46580.0,0.4,28.6
2026-05-09T15:00,Puger,0.98,19.7,0.0,18800.0,0.5,28.6
2026-05-09T16:00,Puger,0.98,21.7,0.0,45580.0,0.5,28.5
2026-05-09T17:00,Puger,0.98,14.1,0.7,10760.0,0.7,28.5
2026-05-09T18:00,Puger,0.98,15.4,0.0,29300.0,0.5,28.5
2026-05-09T19:00,Puger,0.98,8.0,0.0,44320.0,0.5,28.4
2026-05-09T20:00,Puger,0.98,2.8,0.0,37960.0,0.5,28.4
2026-05-09T21:00,Puger,0.98,4.7,0.0,36460.0,0.4,28.4
2026-05-09T22:00,Puger,0.98,6.4,0.0,37280.0,0.4,28.4
2026-05-09T23:00,Puger,0.96,8.1,0.0,34840.0,0.3,28.4
2026-05-10T00:00,Puger,0.94,6.6,0.0,34640.0,0.2,28.3
2026-05-10T01:00,Puger,0.92,5.5,0.0,33900.0,0.2,28.3
2026-05-10T02:00,Puger,0.92,3.7,0.0,34200.0,0.4,28.3
2026-05-10T03:00,Puger,0.94,0.9,0.0,28060.0,0.4,28.2
2026-05-10T04:00,Puger,0.94,0.4,0.0,28480.0,0.4,28.2
2026-05-10T05:00,Puger,0.94,0.5,0.0,26240.0,0.4,28.2
2026-05-10T06:00,Puger,0.92,2.8,0.0,31760.0,0.4,28.2
2026-05-10T07:00,Puger,0.92,1.5,0.0,41340.0,0.4,28.2
2026-05-10T08:00,Puger,0.94,1.3,0.0,34080.0,0.2,28.2
2026-05-10T09:00,Puger,0.94,6.8,0.1,27160.0,0.2,28.3
2026-05-10T10:00,Puger,0.96,7.8,0.0,36300.0,0.2,28.4
2026-05-10T11:00,Puger,0.98,10.1,0.0,46480.0,0.3,28.5
2026-05-10T12:00,Puger,1.02,14.7,0.0,19980.0,0.3,28.5
2026-05-10T13:00,Puger,1.04,15.4,0.0,9120.0,0.3,28.5
2026-05-10T14:00,Puger,1.04,15.4,0.2,30000.0,0.4,28.5
2026-05-10T15:00,Puger,1.02,15.4,0.1,8800.0,0.4,28.5
2026-05-10T16:00,Puger,1.02,7.6,0.1,17540.0,0.4,28.5
2026-05-10T17:00,Puger,1.02,6.5,0.0,28680.0,0.4,28.5
2026-05-10T18:00,Puger,1.04,6.2,0.0,32580.0,0.4,28.4
2026-05-10T19:00,Puger,1.04,5.0,0.0,29280.0,0.4,28.4
2026-05-10T20:00,Puger,1.0,5.6,0.0,25560.0,0.4,28.4
2026-05-10T21:00,Puger,0.98,2.4,0.0,1320.0,0.4,28.4
2026-05-10T22:00,Puger,0.94,1.7,0.0,3200.0,0.3,28.4
2026-05-10T23:00,Puger,0.94,1.4,0.0,28360.0,0.3,28.4
2026-05-11T00:00,Puger,0.94,1.9,0.0,28360.0,0.2,28.4
2026-05-11T01:00,Puger,0.94,2.9,0.0,28360.0,0.2,28.4
2026-05-11T02:00,Puger,0.92,3.6,0.0,28360.0,0.2,28.4
2026-05-11T03:00,Puger,0.92,3.4,0.0,28340.0,0.3,28.3
