time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Sendang Biru,1.66,13.2,0.0,17780.0,0.7,28.6
2026-05-08T01:00,Sendang Biru,1.66,14.8,0.0,8180.0,0.9,28.6
2026-05-08T02:00,Sendang Biru,1.68,14.5,0.2,8460.0,0.9,28.6
2026-05-08T03:00,Sendang Biru,1.7,14.3,0.1,12780.0,0.9,28.5
2026-05-08T04:00,Sendang Biru,1.72,13.9,0.0,14600.0,0.9,28.5
2026-05-08T05:00,Sendang Biru,1.74,15.7,0.1,11340.0,0.9,28.5
2026-05-08T06:00,Sendang Biru,1.74,16.8,0.1,13520.0,0.9,28.5
2026-05-08T07:00,Sendang Biru,1.76,15.9,0.1,10900.0,0.7,28.5
2026-05-08T08:00,Sendang Biru,1.76,17.4,0.1,14740.0,0.7,28.5
2026-05-08T09:00,Sendang Biru,1.76,19.8,0.0,15860.0,0.7,28.6
2026-05-08T10:00,Sendang Biru,1.76,18.4,0.0,31360.0,0.9,28.6
2026-05-08T11:00,Sendang Biru,1.76,18.7,0.0,38060.0,0.9,28.7
2026-05-08T12:00,Sendang Biru,1.74,18.9,0.0,42360.0,1.1,28.8
2026-05-08T13:00,Sendang Biru,1.74,20.7,0.0,43100.0,1.1,28.8
2026-05-08T14:00,Sendang Biru,1.72,20.7,0.1,34040.0,1.3,28.8
2026-05-08T15:00,Sendang Biru,1.68,20.5,0.1,38380.0,1.3,28.8
2026-05-08T16:00,Sendang Biru,1.66,19.0,0.1,11540.0,1.3,28.7
2026-05-08T17:00,Sendang Biru,1.64,17.4,0.3,9520.0,1.3,28.7
2026-05-08T18:00,Sendang Biru,1.64,15.7,0.1,12900.0,1.3,28.6
2026-05-08T19:00,Sendang Biru,1.62,18.4,0.1,21300.0,1.1,28.6
2026-05-08T20:00,Sendang Biru,1.62,18.0,0.0,38200.0,1.1,28.6
2026-05-08T21:00,Sendang Biru,1.64,18.9,0.0,15700.0,1.1,28.6
2026-05-08T22:00,Sendang Biru,1.64,18.3,0.0,7100.0,1.1,28.6
2026-05-08T23:00,Sendang Biru,1.64,17.2,0.0,12060.0,1.1,28.6
2026-05-09T00:00,Sendang Biru,1.66,15.9,0.0,22820.0,1.1,28.5
2026-05-09T01:00,Sendang Biru,1.66,16.0,0.0,36460.0,1.1,28.5
2026-05-09T02:00,Sendang Biru,1.66,16.1,0.0,31040.0,1.1,28.5
2026-05-09T03:00,Sendang Biru,1.64,16.6,0.0,36840.0,1.1,28.5
2026-05-09T04:00,Sendang Biru,1.64,14.8,0.0,37740.0,1.1,28.5
2026-05-09T05:00,Sendang Biru,1.62,12.7,0.0,37720.0,1.1,28.5
2026-05-09T06:00,Sendang Biru,1.6,12.8,0.0,38600.0,0.9,28.5
2026-05-09T07:00,Sendang Biru,1.58,11.7,0.0,39460.0,0.9,28.5
2026-05-09T08:00,Sendang Biru,1.64,12.3,0.0,31920.0,0.9,28.5
