time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Tuban,0.66,10.5,0.0,38620.0,0.2,31.0
2026-05-08T01:00,Tuban,0.66,10.0,0.0,35940.0,0.2,31.0
2026-05-08T02:00,Tuban,0.66,10.5,0.0,35940.0,0.2,30.9
2026-05-08T03:00,Tuban,0.66,12.1,0.0,35920.0,0.4,30.9
2026-05-08T04:00,Tuban,0.66,12.2,0.0,35920.0,0.2,30.8
2026-05-08T05:00,Tuban,0.66,11.8,0.0,38600.0,0.2,30.8
2026-05-08T06:00,Tuban,0.66,10.7,0.0,38580.0,0.2,30.8
2026-05-08T07:00,Tuban,0.66,11.6,0.0,41880.0,0.0,30.8
2026-05-08T08:00,Tuban,0.66,11.5,0.0,43840.0,0.0,30.8
2026-05-08T09:00,Tuban,0.64,12.5,0.0,45560.0,0.3,30.9
2026-05-08T10:00,Tuban,0.64,9.2,0.0,45560.0,0.3,31.0
2026-05-08T11:00,Tuban,0.64,8.9,0.0,15960.0,0.4,31.0
2026-05-08T12:00,Tuban,0.62,9.6,0.0,22640.0,0.4,31.1
2026-05-08T13:00,Tuban,0.62,11.8,0.0,32400.0,0.4,31.2
2026-05-08T14:00,Tuban,0.64,10.0,0.0,11060.0,0.4,31.2
2026-05-08T15:00,Tuban,0.68,10.3,0.1,6280.0,0.4,31.2
2026-05-08T16:00,Tuban,0.7,13.9,0.3,15820.0,0.4,31.2
2026-05-08T17:00,Tuban,0.7,12.1,0.0,38800.0,0.4,31.1
2026-05-08T18:00,Tuban,0.7,9.7,0.0,41820.0,0.2,31.1
2026-05-08T19:00,Tuban,0.7,2.5,0.0,41820.0,0.2,31.1
2026-05-08T20:00,Tuban,0.7,10.6,0.6,8500.0,0.2,31.1
2026-05-08T21:00,Tuban,0.72,11.1,0.3,11340.0,0.0,31.0
2026-05-08T22:00,Tuban,0.72,9.3,0.0,23500.0,0.0,31.0
2026-05-08T23:00,Tuban,0.72,7.2,0.0,31920.0,0.2,31.0
2026-05-09T00:00,Tuban,0.7,3.3,0.0,35300.0,0.2,31.0
2026-05-09T01:00,Tuban,0.7,7.2,0.0,28060.0,0.2,31.0
2026-05-09T02:00,Tuban,0.72,7.6,0.0,35140.0,0.4,31.0
