time,location,wave_height,wind_speed_10m,precipitation,visibility,ocean_current_velocity,sea_surface_temperature
2026-05-08T00:00,Watu Ulo,1.52,4.9,0.0,2640.0,0.4,28.8
2026-05-08T01:00,Watu Ulo,1.52,6.3,0.0,880.0,0.4,28.8
2026-05-08T02:00,Watu Ulo,1.54,5.7,0.0,2020.0,0.4,28.7
2026-05-08T03:00,Watu Ulo,1.56,5.9,0.0,760.0,0.4,28.7
2026-05-08T04:00,Watu Ulo,1.58,5.1,0.0,2140.0,0.4,28.6
2026-05-08T05:00,Watu Ulo,1.6,5.0,0.0,1960.0,0.4,28.6
2026-05-08T06:00,Watu Ulo,1.6,6.0,0.0,2800.0,0.4,28.6
2026-05-08T07:00,Watu Ulo,1.62,7.0,0.0,31660.0,0.4,28.6
2026-05-08T08:00,Watu Ulo,1.64,12.9,0.0,23420.0,0.4,28.7
2026-05-08T09:00,Watu Ulo,1.64,11.6,0.0,24540.0,0.4,28.8
2026-05-08T10:00,Watu Ulo,1.66,11.5,0.0,26420.0,0.4,28.8
2026-05-08T11:00,Watu Ulo,1.68,11.3,0.0,25820.0,0.4,28.9
2026-05-08T12:00,Watu Ulo,1.68,11.7,0.0,15120.0,0.2,28.9
2026-05-08T13:00,Watu Ulo,1.7,13.2,0.1,14960.0,0.3,29.0
2026-05-08T14:00,Watu Ulo,1.68,12.5,0.1,15580.0,0.3,29.0
2026-05-08T15:00,Watu Ulo,1.68,12.1,0.0,16280.0,0.4,29.0
2026-05-08T16:00,Watu Ulo,1.66,10.8,0.0,33600.0,0.4,29.0
2026-05-08T17:00,Watu Ulo,1.64,8.9,0.0,47700.0,0.4,28.9
2026-05-08T18:00,Watu Ulo,1.64,8.2,0.0,44320.0,0.4,28.9
2026-05-08T19:00,Watu Ulo,1.62,11.6,0.0,44220.0,0.4,28.9
2026-05-08T20:00,Watu Ulo,1.62,9.8,0.0,32340.0,0.4,28.8
2026-05-08T21:00,Watu Ulo,1.6,8.8,0.0,32420.0,0.3,28.8
2026-05-08T22:00,Watu Ulo,1.6,5.2,0.0,34980.0,0.3,28.8
2026-05-08T23:00,Watu Ulo,1.6,4.9,0.0,29500.0,0.3,28.7
2026-05-09T00:00,Watu Ulo,1.62,5.8,0.0,28240.0,0.3,28.6
2026-05-09T01:00,Watu Ulo,1.62,5.2,0.0,25740.0,0.2,28.6
2026-05-09T02:00,Watu Ulo,1.6,7.1,0.0,26380.0,0.2,28.5
2026-05-09T03:00,Watu Ulo,1.6,7.1,0.0,34400.0,0.2,28.5
2026-05-09T04:00,Watu Ulo,1.58,6.0,0.0,10400.0,0.2,28.5
2026-05-09T05:00,Watu Ulo,1.58,3.6,0.0,3460.0,0.2,28.5
2026-05-09T06:00,Watu Ulo,1.56,5.0,0.0,5340.0,0.2,28.5
2026-05-09T07:00,Watu Ulo,1.56,5.0,0.0,39240.0,0.2,28.5
